	SRR12805327_00_L001_R1_001_filtered.fastq.gz	SRR12805330_00_L001_R1_001_filtered.fastq.gz	SRR12805341_00_L001_R1_001_filtered.fastq.gz	SRR12805352_00_L001_R1_001_filtered.fastq.gz	SRR12805363_00_L001_R1_001_filtered.fastq.gz	SRR12805373_00_L001_R1_001_filtered.fastq.gz	SRR12805374_00_L001_R1_001_filtered.fastq.gz	SRR12805375_00_L001_R1_001_filtered.fastq.gz	SRR12805376_00_L001_R1_001_filtered.fastq.gz	SRR12805377_00_L001_R1_001_filtered.fastq.gz	SRR12805378_00_L001_R1_001_filtered.fastq.gz	SRR12805379_00_L001_R1_001_filtered.fastq.gz	SRR12805380_00_L001_R1_001_filtered.fastq.gz	SRR12805381_00_L001_R1_001_filtered.fastq.gz	SRR12805382_00_L001_R1_001_filtered.fastq.gz	SRR12805383_00_L001_R1_001_filtered.fastq.gz	SRR12805384_00_L001_R1_001_filtered.fastq.gz	SRR12805385_00_L001_R1_001_filtered.fastq.gz	SRR12805386_00_L001_R1_001_filtered.fastq.gz	SRR12805387_00_L001_R1_001_filtered.fastq.gz	SRR12805388_00_L001_R1_001_filtered.fastq.gz	SRR12805389_00_L001_R1_001_filtered.fastq.gz	SRR12805390_00_L001_R1_001_filtered.fastq.gz	SRR12805391_00_L001_R1_001_filtered.fastq.gz	SRR12805392_00_L001_R1_001_filtered.fastq.gz	SRR12805393_00_L001_R1_001_filtered.fastq.gz	SRR12805394_00_L001_R1_001_filtered.fastq.gz	SRR12805395_00_L001_R1_001_filtered.fastq.gz	SRR12805396_00_L001_R1_001_filtered.fastq.gz	SRR12805397_00_L001_R1_001_filtered.fastq.gz	SRR12805398_00_L001_R1_001_filtered.fastq.gz	SRR12805399_00_L001_R1_001_filtered.fastq.gz	SRR12805400_00_L001_R1_001_filtered.fastq.gz	SRR12805401_00_L001_R1_001_filtered.fastq.gz	SRR12805402_00_L001_R1_001_filtered.fastq.gz	SRR12805403_00_L001_R1_001_filtered.fastq.gz	SRR12805404_00_L001_R1_001_filtered.fastq.gz	SRR12805405_00_L001_R1_001_filtered.fastq.gz	SRR12805406_00_L001_R1_001_filtered.fastq.gz	SRR12805407_00_L001_R1_001_filtered.fastq.gz	SRR12805408_00_L001_R1_001_filtered.fastq.gz
ASV_1	1583	643	1426	2224	2733	345	2432	0	0	0	0	0	0	464	945	388	878	3440	1995	532	664	537	633	1437	464	2115	3453	2754	1422	2519	1761	3285	845	1204	961	1507	2230	1837	1258	3239	2215
ASV_2	894	327	586	921	881	25	939	0	0	0	0	0	0	417	1100	852	609	895	392	584	1439	1396	97	733	1019	270	272	472	1834	1504	731	363	298	469	91	487	1447	345	422	628	475
ASV_3	668	275	601	696	740	47	1048	0	0	0	0	5	0	325	388	382	399	1070	611	320	216	523	110	392	295	54	731	1339	603	969	715	566	588	632	233	395	656	521	681	605	465
ASV_4	107	73	92	88	168	19	793	0	0	0	0	0	0	250	158	234	459	1277	135	444	1298	1110	2346	752	720	1574	741	571	178	129	207	121	66	157	272	129	341	194	178	200	357
ASV_5	379	150	111	221	406	25	856	0	0	0	0	0	0	145	335	475	544	568	185	246	524	887	751	441	347	13	1098	434	887	535	571	348	169	291	288	188	941	226	368	387	144
ASV_6	420	119	217	549	494	42	964	0	0	0	0	1	0	102	338	124	297	853	314	194	147	170	146	506	46	602	860	832	547	380	211	270	252	671	268	284	1253	332	365	604	484
ASV_7	37	189	38	17	126	15	305	0	0	0	0	4	3	190	28	2026	203	374	398	196	12	37	312	111	1700	2670	787	255	749	274	33	25	12	494	103	233	82	867	23	195	214
ASV_8	117	72	84	114	139	25	551	0	0	0	0	0	0	377	238	809	717	831	401	283	331	641	737	1060	1011	247	391	446	253	215	177	137	102	283	164	148	404	127	216	167	236
ASV_9	289	277	120	230	150	13	416	0	0	1	0	0	0	292	570	360	174	432	371	534	29	23	23	411	408	101	282	220	400	411	217	154	270	576	1350	456	734	125	453	230	178
ASV_10	292	86	102	274	245	47	697	0	0	0	0	0	0	533	513	553	206	291	207	279	233	764	370	604	380	22	1041	459	184	259	153	97	141	209	42	153	455	156	273	197	247
ASV_11	467	150	282	477	392	21	247	0	0	0	0	0	0	400	510	498	218	71	353	234	220	316	79	547	372	176	382	129	430	585	388	219	403	225	68	259	378	381	334	248	147
ASV_12	311	68	198	359	376	69	674	0	0	0	1	0	1	1	3	9	0	1573	6	11	13	6	6	22	12	557	639	725	402	293	291	266	224	588	191	223	712	251	397	631	420
