"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"183780e73d59d90d37fd51b327ed7e8f"	1819	671	1687	2464	3073	2816	481	1013	407	954	3723	2150	586	702	625	701	1544	500	2280	3833	3102	1572	2827	1971	3760	976	1366	1072	1747	2539	2014	1390	3537	2398
"7fb5a36541cfcf1a186efa5a8f707d67"	960	342	668	1019	959	992	452	1191	909	638	965	413	627	1523	1492	103	797	1083	302	294	499	1996	1624	791	421	343	556	98	517	1590	371	469	634	489
"b33ad18b61a4434ed227ab0ff772d83a"	732	283	651	715	806	1113	341	420	406	422	1107	643	348	230	551	115	419	321	59	777	1423	642	1022	754	598	633	677	238	424	715	552	731	630	485
"995a69bf9c40ba0af7a70133a6bbb736"	103	73	95	82	164	837	238	150	225	477	1367	133	421	1382	1187	2553	786	705	1674	756	597	177	121	202	118	66	161	281	121	345	196	170	198	370
"e4416693219be2d40fd31eb431d07fd7"	408	156	125	242	446	935	159	371	531	585	623	202	266	560	966	828	489	378	14	1194	471	977	586	621	386	183	319	318	209	1065	248	401	416	150
"ce39dc544711b1a06a0eaeb76dacfa4b"	457	122	231	577	539	1015	106	361	137	317	880	342	213	0	0	0	561	52	637	898	881	574	424	227	285	271	727	285	301	1339	356	380	645	492
"9e926cd50362b31502a5d328a8ed24d7"	128	72	87	120	143	582	431	249	866	768	873	421	313	371	653	778	1122	1081	264	411	465	267	231	186	143	120	309	176	159	428	138	241	176	241
"cc7083382d1b6af8feb121cfe2779359"	329	287	131	262	165	445	315	627	379	186	463	394	579	31	25	28	442	445	110	312	248	439	456	244	174	303	619	1464	488	801	133	470	244	180
"d0dad971506647d25b7ec3c857964526"	510	158	324	507	419	262	420	547	531	222	70	377	253	230	332	89	593	404	188	402	130	452	626	429	248	447	242	84	276	402	412	361	279	154
"9fde9971ce2276d0b46da55cd7aafa0a"	307	86	107	283	249	726	554	530	574	210	306	205	297	244	804	392	614	389	24	1032	484	185	259	157	102	147	215	44	160	472	164	282	199	248
"e0664ddae2a33c37f1024d28e5ec7128"	332	68	213	387	400	737	0	0	0	0	1682	0	0	0	0	0	0	0	591	682	729	419	323	311	290	237	605	201	223	782	256	404	644	439
