"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"183780e73d59d90d37fd51b327ed7e8f"	1819	671	1687	2464	3073	2816	481	1013	407	954	3723	2150	586	702	625	701	1544	500	2280	3833	3102	1572	2827	1971	3760	976	1366	1072	1747	2539	2014	1390	3537	2398
"995a69bf9c40ba0af7a70133a6bbb736"	103	73	95	82	164	837	238	150	225	477	1367	133	421	1382	1187	2553	786	705	1674	756	597	177	121	202	118	66	161	281	121	345	196	170	198	370
"ce39dc544711b1a06a0eaeb76dacfa4b"	457	122	231	577	539	1015	106	361	137	317	880	342	213	0	0	0	561	52	637	898	881	574	424	227	285	271	727	285	301	1339	356	380	645	492
"9e926cd50362b31502a5d328a8ed24d7"	128	72	87	120	143	582	431	249	866	768	873	421	313	371	653	778	1122	1081	264	411	465	267	231	186	143	120	309	176	159	428	138	241	176	241
"d0dad971506647d25b7ec3c857964526"	510	158	324	507	419	262	420	547	531	222	70	377	253	230	332	89	593	404	188	402	130	452	626	429	248	447	242	84	276	402	412	361	279	154
"9fde9971ce2276d0b46da55cd7aafa0a"	307	86	107	283	249	726	554	530	574	210	306	205	297	244	804	392	614	389	24	1032	484	185	259	157	102	147	215	44	160	472	164	282	199	248
"e0664ddae2a33c37f1024d28e5ec7128"	332	68	213	387	400	737	0	0	0	0	1682	0	0	0	0	0	0	0	591	682	729	419	323	311	290	237	605	201	223	782	256	404	644	439
"15a987cb5704934a82dd41f66761f47f"	395	188	308	329	224	36	834	426	1053	272	64	378	253	19	47	19	461	732	0	135	84	304	449	467	283	277	222	22	241	202	281	365	251	69
"5f66e32f4a373fd9522e3987ce77c290"	255	174	153	233	139	89	549	500	517	355	65	484	466	158	372	245	469	865	90	224	84	244	207	221	153	148	222	97	225	195	154	288	166	129
"7e9e02e1e6d645b6b02ea65d1fc1b4e7"	98	0	0	48	56	290	439	257	529	310	155	336	314	350	466	1597	614	332	281	188	407	118	52	65	66	56	156	53	0	295	81	108	101	114
"a7b4f098724fcc91ece8ec27f0985049"	49	29	40	48	70	209	122	44	565	207	382	151	171	1041	448	355	117	345	1144	955	204	270	64	53	51	42	79	55	61	409	40	109	69	81
"3cd5528177788b43960cf1fbbac6c08c"	473	602	741	268	136	147	0	183	0	0	0	0	0	0	389	0	131	0	0	0	0	0	379	822	101	740	488	0	469	429	0	524	94	0
"08f8d83d9566e6477feaa25a1a3ca5e5"	100	24	83	74	94	277	209	64	299	253	149	108	102	570	368	1066	332	227	173	247	199	192	114	102	73	84	185	51	108	229	76	123	127	114
"2c2fa447568f6a2dce1cfa950437d7f5"	58	53	78	90	95	305	111	208	270	298	305	222	216	365	289	478	377	266	226	289	213	121	112	143	99	48	147	125	98	209	83	114	123	112
"e5785d16870445f9527d02d282b7e011"	168	118	212	213	232	330	102	218	58	227	257	108	104	68	66	0	75	123	55	300	158	223	288	206	189	117	228	222	157	285	147	227	281	250
"2b1518fe0faccf2832ca45e2b0aef189"	92	61	63	116	98	271	103	61	99	181	325	0	131	394	241	456	254	123	550	402	318	225	69	69	119	0	98	168	61	280	98	92	139	162
"d1a174f0eed67233764c9dd8c0ee3d36"	148	128	80	173	94	30	710	346	416	302	0	383	458	0	98	0	409	577	0	55	43	144	169	156	114	137	45	20	52	63	78	128	109	82
"f0709f171b589606c85046e0d3d661c6"	197	99	167	242	131	28	370	162	301	163	22	277	250	43	194	57	392	525	0	101	21	168	236	195	97	183	76	42	136	72	228	187	100	64
"e039fb223efec8cc9a3015fd7fae5cb4"	0	0	6	0	19	218	210	22	62	166	98	64	35	1407	509	1155	813	199	45	0	138	0	12	0	0	0	32	27	0	85	28	0	0	42
"1b35036bdd92d5a4466b8584cfa024ba"	14	9	0	0	89	133	3	347	71	209	295	12	35	217	411	174	247	110	1114	585	120	153	19	0	29	4	63	232	0	360	67	13	112	20
"a47c3650850a963cd2b9deee9f7ea0fc"	61	5	17	23	66	382	48	32	266	226	304	72	57	377	131	412	487	73	231	395	127	327	69	30	25	17	87	49	56	428	48	40	53	131
"f124f777869e14203b2afc6ee6279a56"	154	0	0	84	223	153	0	112	0	91	251	0	0	251	290	175	136	0	615	533	224	253	95	92	123	0	124	216	134	343	57	0	276	129
"d662d41c478094e4a8f701d57e0564d4"	171	85	55	199	189	667	81	204	235	37	60	86	71	21	91	0	379	102	0	0	45	128	137	238	174	193	125	119	114	185	329	176	342	56
"e4320c84baca9867ccb0dfd9a5156b06"	305	51	178	484	310	37	79	238	123	0	0	374	106	0	0	0	0	29	0	32	0	374	328	370	168	191	86	10	71	134	237	244	295	0
"25cb02fb17426d878afd69a79572b858"	93	83	94	0	101	265	46	99	167	109	247	70	126	256	205	643	164	159	195	137	213	118	109	88	98	69	129	151	104	227	0	79	97	78
