	Kingdom	Phylum	Class	Order	Family	Genus	Species
183780e73d59d90d37fd51b327ed7e8f	Bacteria	Cyanobacteria	Oxyphotobacteria	NA	NA	NA	NA
7fb5a36541cfcf1a186efa5a8f707d67	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	uncultured	uncultured cyanobacterium
b33ad18b61a4434ed227ab0ff772d83a	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
995a69bf9c40ba0af7a70133a6bbb736	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Chryseoglobus	uncultured bacterium
e4416693219be2d40fd31eb431d07fd7	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Rudanella	uncultured bacterium
ce39dc544711b1a06a0eaeb76dacfa4b	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	Aliterella CENA595	uncultured bacterium
4c327505a6047f3d55fb7f6a74f1a0a8	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema CCAP 1459-11B	NA
9e926cd50362b31502a5d328a8ed24d7	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	NA	NA
cc7083382d1b6af8feb121cfe2779359	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria Incertae Sedis	Unknown Family	Phormidium CYN64	NA
d0dad971506647d25b7ec3c857964526	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
9fde9971ce2276d0b46da55cd7aafa0a	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon PCC-7430	uncultured bacterium
e0664ddae2a33c37f1024d28e5ec7128	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	Aliterella CENA595	NA
15a987cb5704934a82dd41f66761f47f	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
5f66e32f4a373fd9522e3987ce77c290	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Marisediminicola	uncultured bacterium
6660b87e551ed6cf9755987868f5f000	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Siphonobacter	uncultured bacterium
7e9e02e1e6d645b6b02ea65d1fc1b4e7	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon PCC-7430	uncultured bacterium
b9ce5e80d8046703d204eddcf74b10eb	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Blastocatella	NA
a7b4f098724fcc91ece8ec27f0985049	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	NA
3cd5528177788b43960cf1fbbac6c08c	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Planoglabratella opercularis	Planoglabratella opercularis	Planoglabratella opercularis
48a7af65c55adc4dd66178efefb01ed9	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	NA
08f8d83d9566e6477feaa25a1a3ca5e5	Bacteria	Actinobacteria	Actinobacteria	Frankiales	uncultured	NA	NA
2c2fa447568f6a2dce1cfa950437d7f5	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	NA
e5785d16870445f9527d02d282b7e011	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA
2b1518fe0faccf2832ca45e2b0aef189	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium
d1a174f0eed67233764c9dd8c0ee3d36	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Candidatus Chloroploca	uncultured bacterium
db98fc98cf5867c20a997a80bd230125	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Cryptosporangiaceae	Fodinicola	uncultured bacterium
f0709f171b589606c85046e0d3d661c6	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	uncultured	uncultured bacterium
e039fb223efec8cc9a3015fd7fae5cb4	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	NA
1b35036bdd92d5a4466b8584cfa024ba	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	uncultured bacterium
