Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,undefined,undefined,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,undefined,diameter1,diameter2,DNA_per_g,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,org_matter,Organism,undefined,Platform,ReleaseDate,undefined,samp_collect_device,samp_size,samp_store_dur,samp_store_loc,samp_store_temp,Sample Name,SRA Study,undefined,water_content
SRR12805327,AMPLICON,502,14128790,PRJNA668398,SAMN16408929,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",9184036,UNIVERSITY OF COLORADO AT BOULDER,0.066 ug / g cryoconite,Dec-2017,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",0.28,0.63,0.78,6.74,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274186,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN30_16S,PAIRED,PCR,GENOMIC,Total: 0.61%,sediment metagenome,8.49,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 10,SIPRE core frozen,55.6 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN30,SRP286940,< 0 C,28%
SRR12805328,AMPLICON,302,6094360,PRJNA668398,SAMN16408960,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",4129413,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274185,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC41_18S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 7,No-template negative control,No-template negative control,NA,NA,-20 C,NTC41,SRP286940,NA,NA
SRR12805329,AMPLICON,302,3882814,PRJNA668398,SAMN16408959,"MIGS/MIMS/MIMARKS.sediment,MIMARKS.survey",2651716,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274184,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC31_18S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 6,No-template negative control,No-template negative control,NA,NA,-20 C,NTC31,SRP286940,NA,NA
SRR12805330,AMPLICON,502,7981298,PRJNA668398,SAMN16408928,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",4902106,UNIVERSITY OF COLORADO AT BOULDER,0.072 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",0.29,0.72,0.73,16.36,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274183,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN29_16S,PAIRED,PCR,GENOMIC,Total: 0.87%,sediment metagenome,8.53,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 9,SIPRE core frozen,95.9 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN29,SRP286940,< 0 C,35%
SRR12805331,AMPLICON,302,4983906,PRJNA668398,SAMN16408958,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",3384048,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274182,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC23_18S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 5,No-template negative control,No-template negative control,NA,NA,-20 C,NTC23,SRP286940,NA,NA
SRR12805332,AMPLICON,302,5719578,PRJNA668398,SAMN16408957,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",3884877,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274181,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC22_18S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 4,No-template negative control,No-template negative control,NA,NA,-20 C,NTC22,SRP286940,NA,NA
SRR12805333,AMPLICON,302,1607546,PRJNA668398,SAMN16408956,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",1155735,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274180,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC21_18S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 3,No-template negative control,No-template negative control,NA,NA,-20 C,NTC21,SRP286940,NA,NA
SRR12805334,AMPLICON,302,12328546,PRJNA668398,SAMN16408955,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",8213744,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274179,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC12_18S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 2,No-template negative control,No-template negative control,NA,NA,-20 C,NTC12,SRP286940,NA,NA
SRR12805335,AMPLICON,302,17941216,PRJNA668398,SAMN16408954,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",12117357,UNIVERSITY OF COLORADO AT BOULDER,NA,NA,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",NA,NA,NA,NA,NA,NA,NA,NA,SRX9274178,uncalculated,uncalculated,NA,Illumina MiSeq,NA,NTC11_18S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Negative control replicate 1,No-template negative control,No-template negative control,NA,NA,-20 C,NTC11,SRP286940,NA,NA
SRR12805336,AMPLICON,302,9602392,PRJNA668398,SAMN16408953,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",4953735,UNIVERSITY OF COLORADO AT BOULDER,0.073 ug / g cryoconite,NA,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",NA,0.38,0.35,0.59,NA,NA,NA,NA,SRX9274177,uncalculated,uncalculated,NA,Illumina MiSeq,NA,T14_18S,PAIRED,PCR,GENOMIC,Total: 0.43%,sediment metagenome,NA,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 11,SIPRE core frozen,79 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T14,SRP286940,< 0 C,NA
