Site1	Site2	RCb
1	SRR12805327	SRR12805330	1
2	SRR12805327	SRR12805341	1
3	SRR12805327	SRR12805352	1
4	SRR12805327	SRR12805363	1
5	SRR12805327	SRR12805374	-0.5
6	SRR12805327	SRR12805381	-0.2
7	SRR12805327	SRR12805382	0.5
8	SRR12805327	SRR12805383	-0.3
9	SRR12805327	SRR12805384	-0.9
10	SRR12805327	SRR12805385	-0.2
11	SRR12805327	SRR12805386	0.3
12	SRR12805327	SRR12805387	-0.6
13	SRR12805327	SRR12805388	-0.2
14	SRR12805327	SRR12805389	0
15	SRR12805327	SRR12805390	0.1
16	SRR12805327	SRR12805391	0
17	SRR12805327	SRR12805392	-0.9
18	SRR12805327	SRR12805393	-0.2
19	SRR12805327	SRR12805394	0.4
20	SRR12805327	SRR12805395	-0.5
21	SRR12805327	SRR12805396	0.4
22	SRR12805327	SRR12805397	1
23	SRR12805327	SRR12805398	1
24	SRR12805327	SRR12805399	1
25	SRR12805327	SRR12805400	1
26	SRR12805327	SRR12805401	0.2
27	SRR12805327	SRR12805402	0.5
28	SRR12805327	SRR12805403	1
29	SRR12805327	SRR12805404	0.4
30	SRR12805327	SRR12805405	1
31	SRR12805327	SRR12805406	1
32	SRR12805327	SRR12805407	1
33	SRR12805327	SRR12805408	0
34	SRR12805330	SRR12805341	1
35	SRR12805330	SRR12805352	1
36	SRR12805330	SRR12805363	1
37	SRR12805330	SRR12805374	-0.4
38	SRR12805330	SRR12805381	-0.4
39	SRR12805330	SRR12805382	0.2
40	SRR12805330	SRR12805383	-0.1
41	SRR12805330	SRR12805384	-0.3
42	SRR12805330	SRR12805385	-0.5
43	SRR12805330	SRR12805386	-0.1
44	SRR12805330	SRR12805387	-0.5
45	SRR12805330	SRR12805388	-0.3
46	SRR12805330	SRR12805389	-0.2
47	SRR12805330	SRR12805390	-0.5
48	SRR12805330	SRR12805391	-0.4
49	SRR12805330	SRR12805392	0.5
50	SRR12805330	SRR12805393	0.5
51	SRR12805330	SRR12805394	0.7
52	SRR12805330	SRR12805395	-0.9
53	SRR12805330	SRR12805396	0.2
54	SRR12805330	SRR12805397	0.9
55	SRR12805330	SRR12805398	0.9
56	SRR12805330	SRR12805399	1
57	SRR12805330	SRR12805400	1
58	SRR12805330	SRR12805401	0.8
59	SRR12805330	SRR12805402	0.3
60	SRR12805330	SRR12805403	1
61	SRR12805330	SRR12805404	0.8
62	SRR12805330	SRR12805405	1
63	SRR12805330	SRR12805406	1
64	SRR12805330	SRR12805407	1
65	SRR12805330	SRR12805408	-0.5
66	SRR12805341	SRR12805352	1
67	SRR12805341	SRR12805363	1
68	SRR12805341	SRR12805374	-0.6
69	SRR12805341	SRR12805381	0
70	SRR12805341	SRR12805382	0.7
71	SRR12805341	SRR12805383	-0.8
72	SRR12805341	SRR12805384	-1
73	SRR12805341	SRR12805385	-0.5
74	SRR12805341	SRR12805386	0.5
75	SRR12805341	SRR12805387	-0.5
76	SRR12805341	SRR12805388	-0.8
77	SRR12805341	SRR12805389	-0.5
78	SRR12805341	SRR12805390	-0.9
79	SRR12805341	SRR12805391	-0.6
80	SRR12805341	SRR12805392	-0.4
81	SRR12805341	SRR12805393	-0.2
82	SRR12805341	SRR12805394	-0.2
83	SRR12805341	SRR12805395	-0.8
84	SRR12805341	SRR12805396	0.4
85	SRR12805341	SRR12805397	1
86	SRR12805341	SRR12805398	1
87	SRR12805341	SRR12805399	1
88	SRR12805341	SRR12805400	1
89	SRR12805341	SRR12805401	1
90	SRR12805341	SRR12805402	0.2
91	SRR12805341	SRR12805403	1
92	SRR12805341	SRR12805404	-0.1
93	SRR12805341	SRR12805405	1
94	SRR12805341	SRR12805406	0.7
95	SRR12805341	SRR12805407	1
96	SRR12805341	SRR12805408	0.1
97	SRR12805352	SRR12805363	1
98	SRR12805352	SRR12805374	-0.2
99	SRR12805352	SRR12805381	0.4
100	SRR12805352	SRR12805382	0.6
