Site1	Site2	RCb
1	SRR12805327	SRR12805330	2
2	SRR12805327	SRR12805341	2
3	SRR12805327	SRR12805352	2
4	SRR12805327	SRR12805363	2
5	SRR12805327	SRR12805374	2
6	SRR12805327	SRR12805381	2
7	SRR12805327	SRR12805382	2
8	SRR12805327	SRR12805383	2
9	SRR12805327	SRR12805384	2
10	SRR12805327	SRR12805385	2
11	SRR12805327	SRR12805386	2
12	SRR12805327	SRR12805387	2
13	SRR12805327	SRR12805388	2
14	SRR12805327	SRR12805389	2
15	SRR12805327	SRR12805390	2
16	SRR12805327	SRR12805391	2
17	SRR12805327	SRR12805392	2
18	SRR12805327	SRR12805393	2
19	SRR12805327	SRR12805394	2
20	SRR12805327	SRR12805395	2
21	SRR12805327	SRR12805396	2
22	SRR12805327	SRR12805397	2
23	SRR12805327	SRR12805398	2
24	SRR12805327	SRR12805399	2
25	SRR12805327	SRR12805400	2
26	SRR12805327	SRR12805401	2
27	SRR12805327	SRR12805402	2
28	SRR12805327	SRR12805403	2
29	SRR12805327	SRR12805404	2
30	SRR12805327	SRR12805405	2
31	SRR12805327	SRR12805406	2
32	SRR12805327	SRR12805407	2
33	SRR12805327	SRR12805408	2
34	SRR12805330	SRR12805341	0
35	SRR12805330	SRR12805352	0
36	SRR12805330	SRR12805363	0
37	SRR12805330	SRR12805374	-0.1
38	SRR12805330	SRR12805381	0
39	SRR12805330	SRR12805382	0
40	SRR12805330	SRR12805383	-0.1
41	SRR12805330	SRR12805384	0
42	SRR12805330	SRR12805385	-0.1
43	SRR12805330	SRR12805386	0
44	SRR12805330	SRR12805387	1
45	SRR12805330	SRR12805388	0
46	SRR12805330	SRR12805389	0
47	SRR12805330	SRR12805390	0
48	SRR12805330	SRR12805391	0
49	SRR12805330	SRR12805392	-0.1
50	SRR12805330	SRR12805393	0
51	SRR12805330	SRR12805394	2
52	SRR12805330	SRR12805395	2
53	SRR12805330	SRR12805396	2
54	SRR12805330	SRR12805397	-0.2
55	SRR12805330	SRR12805398	0
56	SRR12805330	SRR12805399	0
57	SRR12805330	SRR12805400	-0.1
58	SRR12805330	SRR12805401	-0.1
59	SRR12805330	SRR12805402	0
60	SRR12805330	SRR12805403	-0.1
61	SRR12805330	SRR12805404	1
62	SRR12805330	SRR12805405	2
63	SRR12805330	SRR12805406	0
64	SRR12805330	SRR12805407	-0.1
65	SRR12805330	SRR12805408	2
66	SRR12805341	SRR12805352	0
67	SRR12805341	SRR12805363	-0.5
68	SRR12805341	SRR12805374	-0.1
69	SRR12805341	SRR12805381	-0.1
70	SRR12805341	SRR12805382	0
71	SRR12805341	SRR12805383	-0.2
72	SRR12805341	SRR12805384	-0.1
73	SRR12805341	SRR12805385	-0.1
74	SRR12805341	SRR12805386	0
75	SRR12805341	SRR12805387	-0.2
76	SRR12805341	SRR12805388	0
77	SRR12805341	SRR12805389	0
78	SRR12805341	SRR12805390	0
79	SRR12805341	SRR12805391	-0.1
80	SRR12805341	SRR12805392	-0.6
81	SRR12805341	SRR12805393	-0.4
82	SRR12805341	SRR12805394	2
83	SRR12805341	SRR12805395	2
