Site1	Site2	RCb
1	SRR12805327	SRR12805330	0.4
2	SRR12805327	SRR12805341	0.7
3	SRR12805327	SRR12805352	0.5
4	SRR12805327	SRR12805363	0.2
5	SRR12805327	SRR12805374	-0.2
6	SRR12805327	SRR12805381	-0.8
7	SRR12805327	SRR12805382	-0.7
8	SRR12805327	SRR12805383	-0.8
9	SRR12805327	SRR12805384	-0.1
10	SRR12805327	SRR12805385	-0.3
11	SRR12805327	SRR12805386	-0.7
12	SRR12805327	SRR12805387	-0.4
13	SRR12805327	SRR12805388	-0.4
14	SRR12805327	SRR12805389	0.1
15	SRR12805327	SRR12805390	0.5
16	SRR12805327	SRR12805391	-0.4
17	SRR12805327	SRR12805392	-0.9
18	SRR12805327	SRR12805393	-0.4
19	SRR12805327	SRR12805394	-0.1
20	SRR12805327	SRR12805395	-0.1
21	SRR12805327	SRR12805396	0.1
22	SRR12805327	SRR12805397	-0.3
23	SRR12805327	SRR12805398	-0.3
24	SRR12805327	SRR12805399	0.2
25	SRR12805327	SRR12805400	0.1
26	SRR12805327	SRR12805401	-0.6
27	SRR12805327	SRR12805402	-0.9
28	SRR12805327	SRR12805403	-0.2
29	SRR12805327	SRR12805404	0
30	SRR12805327	SRR12805405	0.5
31	SRR12805327	SRR12805406	-0.1
32	SRR12805327	SRR12805407	0.2
33	SRR12805327	SRR12805408	-0.3
34	SRR12805330	SRR12805341	0.1
35	SRR12805330	SRR12805352	-0.3
36	SRR12805330	SRR12805363	-0.6
37	SRR12805330	SRR12805374	-0.5
38	SRR12805330	SRR12805381	-0.4
39	SRR12805330	SRR12805382	0.1
40	SRR12805330	SRR12805383	-0.6
41	SRR12805330	SRR12805384	-0.2
42	SRR12805330	SRR12805385	0
43	SRR12805330	SRR12805386	-0.5
44	SRR12805330	SRR12805387	-0.4
45	SRR12805330	SRR12805388	0
46	SRR12805330	SRR12805389	0.2
47	SRR12805330	SRR12805390	0.6
48	SRR12805330	SRR12805391	-0.1
49	SRR12805330	SRR12805392	-0.8
50	SRR12805330	SRR12805393	-0.6
51	SRR12805330	SRR12805394	-0.1
52	SRR12805330	SRR12805395	-0.1
53	SRR12805330	SRR12805396	0.3
54	SRR12805330	SRR12805397	-0.1
55	SRR12805330	SRR12805398	-0.1
56	SRR12805330	SRR12805399	0.3
57	SRR12805330	SRR12805400	-0.3
58	SRR12805330	SRR12805401	-0.1
59	SRR12805330	SRR12805402	-0.5
60	SRR12805330	SRR12805403	0.2
61	SRR12805330	SRR12805404	0.2
62	SRR12805330	SRR12805405	0.1
63	SRR12805330	SRR12805406	-0.2
64	SRR12805330	SRR12805407	-0.3
65	SRR12805330	SRR12805408	-0.4
66	SRR12805341	SRR12805352	-0.5
67	SRR12805341	SRR12805363	-0.4
68	SRR12805341	SRR12805374	-0.5
69	SRR12805341	SRR12805381	-0.4
70	SRR12805341	SRR12805382	-0.6
71	SRR12805341	SRR12805383	-0.5
72	SRR12805341	SRR12805384	0.2
