Site1	Site2	RCb
1	SRR12805327	SRR12805330	1
2	SRR12805327	SRR12805341	1
3	SRR12805327	SRR12805352	1
4	SRR12805327	SRR12805363	0.97979797979798
5	SRR12805327	SRR12805374	0.595959595959596
6	SRR12805327	SRR12805381	0.797979797979798
7	SRR12805327	SRR12805382	1
8	SRR12805327	SRR12805383	0.696969696969697
9	SRR12805327	SRR12805384	0.212121212121212
10	SRR12805327	SRR12805385	0.171717171717172
11	SRR12805327	SRR12805386	0.97979797979798
12	SRR12805327	SRR12805387	0.97979797979798
13	SRR12805327	SRR12805388	0.454545454545455
14	SRR12805327	SRR12805389	0.373737373737374
15	SRR12805327	SRR12805390	0.454545454545455
16	SRR12805327	SRR12805391	0.191919191919192
17	SRR12805327	SRR12805392	0.373737373737374
18	SRR12805327	SRR12805393	0.616161616161616
19	SRR12805327	SRR12805394	0.575757575757576
20	SRR12805327	SRR12805395	0.131313131313131
21	SRR12805327	SRR12805396	1
22	SRR12805327	SRR12805397	1
23	SRR12805327	SRR12805398	1
24	SRR12805327	SRR12805399	1
25	SRR12805327	SRR12805400	1
26	SRR12805327	SRR12805401	0.95959595959596
27	SRR12805327	SRR12805402	0.919191919191919
28	SRR12805327	SRR12805403	1
29	SRR12805327	SRR12805404	0.616161616161616
30	SRR12805327	SRR12805405	1
31	SRR12805327	SRR12805406	1
32	SRR12805327	SRR12805407	1
33	SRR12805327	SRR12805408	0.515151515151515
34	SRR12805330	SRR12805341	1
35	SRR12805330	SRR12805352	0.919191919191919
36	SRR12805330	SRR12805363	0.97979797979798
37	SRR12805330	SRR12805374	-0.151515151515151
38	SRR12805330	SRR12805381	0.555555555555556
39	SRR12805330	SRR12805382	1
40	SRR12805330	SRR12805383	0.272727272727273
41	SRR12805330	SRR12805384	0.494949494949495
42	SRR12805330	SRR12805385	-0.111111111111111
43	SRR12805330	SRR12805386	0.393939393939394
44	SRR12805330	SRR12805387	1
45	SRR12805330	SRR12805388	0.636363636363636
46	SRR12805330	SRR12805389	-0.0707070707070707
47	SRR12805330	SRR12805390	0.474747474747475
48	SRR12805330	SRR12805391	0.0303030303030303
49	SRR12805330	SRR12805392	0.898989898989899
50	SRR12805330	SRR12805393	0.656565656565657
51	SRR12805330	SRR12805394	0.616161616161616
52	SRR12805330	SRR12805395	-0.212121212121212
53	SRR12805330	SRR12805396	0.777777777777778
54	SRR12805330	SRR12805397	0.97979797979798
55	SRR12805330	SRR12805398	1
56	SRR12805330	SRR12805399	1
57	SRR12805330	SRR12805400	0.97979797979798
58	SRR12805330	SRR12805401	1
59	SRR12805330	SRR12805402	0.95959595959596
60	SRR12805330	SRR12805403	1
61	SRR12805330	SRR12805404	0.494949494949495
62	SRR12805330	SRR12805405	0.919191919191919
63	SRR12805330	SRR12805406	0.95959595959596
64	SRR12805330	SRR12805407	1
65	SRR12805330	SRR12805408	-0.0101010101010101
66	SRR12805341	SRR12805352	0.95959595959596
67	SRR12805341	SRR12805363	0.97979797979798
68	SRR12805341	SRR12805374	0.575757575757576
69	SRR12805341	SRR12805381	0.878787878787879
70	SRR12805341	SRR12805382	0.818181818181818
71	SRR12805341	SRR12805383	0.252525252525253
72	SRR12805341	SRR12805384	-0.212121212121212
73	SRR12805341	SRR12805385	0.252525252525253
74	SRR12805341	SRR12805386	0.838383838383838
75	SRR12805341	SRR12805387	0.797979797979798
76	SRR12805341	SRR12805388	0.212121212121212
77	SRR12805341	SRR12805389	-0.171717171717172
78	SRR12805341	SRR12805390	0.454545454545455
79	SRR12805341	SRR12805391	-0.171717171717172
80	SRR12805341	SRR12805392	0.636363636363636
81	SRR12805341	SRR12805393	0.535353535353535
82	SRR12805341	SRR12805394	0.272727272727273
83	SRR12805341	SRR12805395	-0.0909090909090909
84	SRR12805341	SRR12805396	0.858585858585859
85	SRR12805341	SRR12805397	1
86	SRR12805341	SRR12805398	1
87	SRR12805341	SRR12805399	1
