"Chlorophyll","Depth","DNA_per_g","org_matter","pH","water_content","Area","Faith","Richness","Shannon","Simpson","Inv.Simpson","Pilou","Glacier","logRichness","logChlorophyll","logDepth","logDNA_per_g","logorg_matter","logpH","logwater_content","logArea","logFaith","logShannon","logSimpson","logInvSimp","logPilou"
0.066,0.28,6.74,0.61,8.49,28,3859.44657493506,13.46786016,152,4.43187241290955,0.97664583999206,42.8189238945012,0.194400690052148,"Canada",5.02388052084628,-2.71810053695571,-1.27296567581289,1.90805992492422,-0.49429632181478,2.13888900032326,3.3322045101752,8.25827907781063,2.60030611811454,1.4888221613297,-0.0236311901067102,3.75698015193732,-1.63783383731113
0.072,0.29,16.36,0.87,8.53,35,4128.05274681699,13.137953849,138,4.41277709635679,0.980689542672192,51.7854125888534,0.199033702207461,"Canada",4.92725368515721,-2.63108915996608,-1.23787435600162,2.7948393311746,-0.139262067333508,2.14358936150359,3.55534806148941,8.32556108489396,2.57550528167678,1.4845042183289,-0.0194993397668565,3.94710849935203,-1.61428111077063
0.048,0.36,8.41,0.64,8.34,32,6927.21180116549,13.343263444,148,4.30093227045227,0.972607026144525,36.5057114746285,0.19462992021588,"Canada",4.99721227376411,-3.03655426807425,-1.02165124753198,2.12942147398486,-0.446287102628419,2.12106321637066,3.46573590279973,8.84321267373035,2.59101164655098,1.45883180628218,-0.0277751569541066,3.59746872710387,-1.63665536865488
0.024,0.25,7.89,0.59,7.8,32,1134.11494794592,12.968243331,139,4.2210397948574,0.968888681914264,32.1426433057008,0.196350957578076,"Canada",4.93447393313069,-3.72970144863419,-1.38629436111989,2.06559613485778,-0.527632742082372,2.05412373369555,3.46573590279973,7.03360784418228,2.56250354821477,1.44008149458283,-0.031605553035953,3.47018360041545,-1.62785162107632
0.045,0.17,17,0.88,8.64,34,881.216739331937,13.32787039,153,4.27905679709154,0.964252145770996,27.9737069977376,0.19168353945298,"Canada",5.03043792139244,-3.10109278921182,-1.77195684193188,2.83321334405622,-0.127833371509885,2.15640258281596,3.52636052461616,6.78130361081215,2.58985736073735,1.45373261079635,-0.0364024565698605,3.3312650332098,-1.65190949879889
0.072,0.17,7.26,0.6,8.85,31,428.827397215007,12.620507039,141,4.17005024809404,0.971061171050679,34.5556484594189,0.196223133181043,"Canada",4.94875989037817,-2.63108915996608,-1.77195684193188,1.9823798288367,-0.510825623765991,2.18041745901984,3.43398720448515,6.06105450047442,2.53532303372277,1.42792808564076,-0.029365814682642,3.54257102337564,-1.62850283267973
0.023,0.49,6.7,0.42,7.6,22,6980.61887627652,13.764518303,157,4.56561731691014,0.984258942032986,63.5281314696609,0.194662004167573,"Taylor",5.05624580534831,-3.77226106305299,-0.713349887877465,1.90210752639692,-0.867500567704723,2.02814824729229,3.09104245335832,8.85089285604898,2.6220941436488,1.51855373314322,-0.0158662640758756,4.1514828230666,-1.63649053630283
0.101,0.32,0.88,0.42,7.94,26,1133.32954978252,11.289810765,127,4.11753829881375,0.972015249896434,35.7337477125653,0.200656009470319,"Taylor",4.84418708645859,-2.29263476214088,-1.13943428318836,-0.127833371509885,-0.867500567704723,2.07191327525904,3.25809653802148,7.03291508350338,2.42390061672792,1.41525548449908,-0.02838378545091,3.57609555633508,-1.60616323270365
0.028,0.33,0.79,0.44,7.98,23,549.778714378214,11.941189864,130,4.36612977872823,0.981198981343763,53.1886073985806,0.201580284912401,"Taylor",4.86753445045558,-3.57555076880693,-1.10866262452161,-0.23572233352107,-0.82098055206983,2.07693841146172,3.13549421592915,6.30951585977291,2.47999375660071,1.47387698254357,-0.0189800047722481,3.97384422677171,-1.60156754066023
0.037,0.12,13.43,0.82,8.9,34,153.9380400259,10.394353333,107,3.78816596863761,0.952310850461003,20.9691304975417,0.203797503438977,"Canada",4.67282883446191,-3.29683736633791,-2.12026353620009,2.59749101053515,-0.198450938723838,2.18605127673809,3.52636052461616,5.03655018396003,2.34126270994728,1.33188198868228,-0.0488637738945083,3.04305137994075,-1.59062840832263
0.034,0.34,2,0.4,7.66,24,5584.18094175586,12.357326182,147,4.56127931622506,0.985722123460695,70.038426039553,0.197522380338769,"Taylor",4.99043258677874,-3.38139475436598,-1.07880966137193,0.693147180559945,-0.916290731874155,2.0360119837525,3.17805383034795,8.6276930475268,2.51424910031005,1.51760313598274,-0.0143807861467744,4.24904403485722,-1.62190338289
