"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"SRR12805327",419,423,64.6542457308321,0.984533111651117,5.09038403778704,82.1455363617201,35,0.72838453440674,0.843075995710866,0.15430607572991,0.370517407887252,0.500651061889618,0.0822326692037908,0.126557719573166,1102,0.0822326692037908,0.0154668883488826,0.571226027908365,0.930117520154127,2.05036357449284,0.203343034101933,0.19103052011044
"SRR12805330",362,364.892857142857,84.9242274566587,0.988224797211016,5.08358133566481,68.5531074130519,35,0.698143455114465,0.862845948073544,0.234597313416184,0.363876407516508,0.506856787675125,0.0514140735765988,0.0955898813521379,689,0.0514140735765988,0.0117752027889845,0.454891426012984,0.936098311333915,2.04221460847161,0.204462353555705,0.250130587269607
"SRR12805341",479,494.515151515152,67.3641396880841,0.985155306597393,5.1725639278354,97.0629642995325,39,0.646260156636178,0.838109990300782,0.140634947156752,0.336902549317442,0.490716205216684,0.0746212969181404,0.127826281620775,1000,0.0746212969181404,0.014844693402607,0.429594806357735,0.923210418270969,2.0522109937584,0.233490038056861,0.285426460711887
"SRR12805352",439,449.666666666667,52.0213190111631,0.980777111787854,4.9877361733033,87.0500423355292,29,0.711469531308563,0.819744704483823,0.118499587724745,0.336161032710974,0.4640105573802,0.102977389747034,0.142526677113648,1380,0.102977389747034,0.0192228882121465,0.551526005521976,0.934683205605445,2.0522402387641,0.216028654578017,0.224759346317439
"SRR12805363",439,448.586956521739,44.8796572001782,0.977718189879667,5.01724504322934,87.0500423355292,34,0.687910279024157,0.824594547983295,0.10223156537626,0.358339325657042,0.489786082208136,0.121707335273487,0.158421013357212,1631,0.121707335273487,0.0222818101203328,0.570852921423774,0.929663592167103,2.05233186906912,0.22834116856951,0.212596074919782
"SRR12805374",379,391.521739130435,48.7656048506335,0.979493743529626,4.76387227906678,72.5461560766549,22,0.71469265771723,0.80233149146762,0.128669142086104,0.311861080110571,0.426481242614367,0.0958883665398105,0.133124393701963,1285,0.0958883665398105,0.0205062564703739,0.667785986120439,0.949086574782541,2.05417502327111,0.184911573763152,0.184836952466234
"SRR12805381",310,314.653846153846,73.0641563460029,0.986313398388337,4.87798976456077,56.672621099958,27,0.947241298795709,0.850331785534071,0.23569082692259,0.325151360440744,0.492587014107289,0.0471606596522648,0.0852175210805164,632,0.0471606596522648,0.013686601611663,0.582717707633759,0.948421985695326,2.03631459742437,0.16573390045519,0.223416162972912
"SRR12805382",453,459.782051282051,99.7923438754616,0.98997919117675,5.24451686353875,90.5238875721208,41,0.678178937257656,0.857522787507397,0.220292149835456,0.327203166356375,0.489902351759511,0.0423102753525856,0.078128497873293,567,0.0423102753525856,0.0100208088232498,0.479441832699052,0.925307692492851,2.04746244250585,0.220879038877696,0.220356689799269
"SRR12805383",306,307.777777777778,55.7153200158968,0.982051615252059,4.74435440028287,55.7801771149048,23,0.942257747812206,0.828913052880881,0.182076209202277,0.320898751808332,0.467762498761409,0.0796209238116558,0.119767181553615,1067,0.0796209238116558,0.0179483847479415,0.645698082232669,0.953133850109523,2.0465908561406,0.152675173494515,0.210805163793747
"SRR12805384",282,282.45,75.8708364614046,0.986819705085119,4.87073901314122,50.492140572482,30,0.99772775504739,0.863314292826758,0.269045519366683,0.34945054405248,0.507619737306479,0.0487277068875457,0.0899186627863592,653,0.0487277068875457,0.0131802949148807,0.595030221625252,0.950001287454434,2.02663522099986,0.129393328856056,0.182374449667935
"SRR12805385",266,267.928571428571,26.8372101954822,0.962738302799881,4.27062522558402,47.0316362139362,13,0.993887786401307,0.764865773953713,0.100891767652189,0.289627070306506,0.41040981171498,0.142675919707485,0.208715767480039,1912,0.142675919707485,0.0372616972001188,0.710543989254533,0.966973438246647,2.0449198119187,0.127154689948511,0.147078576225655
"SRR12805386",367,380.5,60.2061444282594,0.983390399609602,4.98568720012315,69.722072309555,33,0.776257699260721,0.844264471577742,0.164049439859017,0.334076372581096,0.492677326502426,0.0945451831952839,0.125438400119394,1267,0.0945451831952839,0.0166096003903984,0.562420714872024,0.939308850691248,2.04402442059307,0.179688082978882,0.229162002835609
"SRR12805387",379,384.818181818182,104.018743863978,0.990386348047928,5.14732549431518,72.5461560766549,39,0.748171039888135,0.866912691818057,0.274455788559309,0.317644541559719,0.502569696883554,0.0312663234087008,0.0608163569882845,419,0.0312663234087008,0.00961365195207191,0.517200208939631,0.934906558891051,2.04042328098488,0.166256249533617,0.211999104544437
"SRR12805388",236,244,46.4726938624364,0.978481987660107,4.46262503502846,40.6884586099794,19,0.996242375031461,0.81675739559255,0.196918194332358,0.259213059790574,0.446696737461638,0.0665621968509813,0.126856204760839,892,0.0665621968509813,0.0215180123398935,0.527647190508171,0.966057777308016,2.01854095751622,0.0983508693381091,0.19222446086113
