"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"1" "SRR12805330" "SRR12805327" 0.00815581005214693 0.0132538869774909 0.00369795645472542 -1.37862005347018
"2" "SRR12805341" "SRR12805327" 0.00369824578549043 0.00679890455088167 0.0021990723829334 -1.40998485973217
"3" "SRR12805352" "SRR12805327" 0.00234729759033238 0.0039647081105224 0.00153547445562788 -1.05336204992654
"4" "SRR12805363" "SRR12805327" 0.00613797097540562 0.00662141467543454 0.00170636624423304 -0.283317665045712
"5" "SRR12805374" "SRR12805327" 0.0210424833463845 0.021247563739751 0.0040464439150227 -0.050681634954867
"6" "SRR12805381" "SRR12805327" 0.0358558105609013 0.0315500768316819 0.00659384186538881 0.652993174103897
"7" "SRR12805382" "SRR12805327" 0.0100751366473873 0.0178389861999418 0.00576127318043603 -1.34759267776414
"8" "SRR12805383" "SRR12805327" 0.0346910147882448 0.0279299751225221 0.00572929373238975 1.18008256890375
"9" "SRR12805384" "SRR12805327" 0.0455926828471822 0.038840801133074 0.00691718257360338 0.976102863017386
"10" "SRR12805385" "SRR12805327" 0.0440856378933967 0.0424440016317079 0.00728635417989604 0.225302836117713
"11" "SRR12805386" "SRR12805327" 0.0250437801626291 0.022047713251883 0.0054259432635253 0.552174389822051
"12" "SRR12805387" "SRR12805327" 0.0286798975261287 0.0274747981582954 0.00683098605626329 0.176416604851414
"13" "SRR12805388" "SRR12805327" 0.0630727243168015 0.0646281551249948 0.0133405972517926 -0.116593791030177
"14" "SRR12805389" "SRR12805327" 0.0507599120605039 0.0479551712626869 0.00829871657069494 0.337972838802737
"15" "SRR12805390" "SRR12805327" 0.0782153884042687 0.0760272205219294 0.01221578104051 0.179126318250374
"16" "SRR12805391" "SRR12805327" 0.039450836550952 0.0393573355257239 0.00763862777763908 0.0122405526162448
"17" "SRR12805392" "SRR12805327" 0.0345033016867732 0.0302397827162183 0.00585030290758846 0.728768926652446
"18" "SRR12805393" "SRR12805327" 0.0640884649188123 0.0561255669858374 0.00818392665537901 0.97299233831001
"19" "SRR12805394" "SRR12805327" 0.0452585942676797 0.0377252097222946 0.00765654399289554 0.983914485749096
"20" "SRR12805395" "SRR12805327" 0.0428204562454668 0.0361606204203515 0.00620038069652246 1.07410111589608
"21" "SRR12805396" "SRR12805327" 0.0251726448123314 0.0153665392735128 0.00481577911538082 2.03624487416781
"22" "SRR12805397" "SRR12805327" 0.00257920442829889 0.0036298983614841 0.00122902287081709 -0.854901855883836
"23" "SRR12805398" "SRR12805327" 0.0071310844990847 0.00665138991837625 0.00238743941283577 0.200924294928465
"24" "SRR12805399" "SRR12805327" 0.00586822558488554 0.0085884474130017 0.00246165325302416 -1.10503858525743
"25" "SRR12805400" "SRR12805327" 0.00430018971505971 0.00623414849639104 0.00213724645819198 -0.904883371741493
"26" "SRR12805401" "SRR12805327" 0.013012964287871 0.0146225134889592 0.00329573809121601 -0.488372909661145
"27" "SRR12805402" "SRR12805327" 0.0325240674452992 0.0292703246461675 0.00601835555939267 0.540636518899868
"28" "SRR12805403" "SRR12805327" 0.00609494309372107 0.0079720054582985 0.00307584787972739 -0.610258516667539
"29" "SRR12805404" "SRR12805327" 0.0158471652260541 0.0131224589021624 0.00284854640087474 0.956525167732916
"30" "SRR12805405" "SRR12805327" 0.0162869339526277 0.00951214416261402 0.00442093643937061 1.53243320344551
"31" "SRR12805406" "SRR12805327" 0.00415945132392241 0.0081664304972494 0.00235736003283213 -1.6997739494688
"32" "SRR12805407" "SRR12805327" 0.0115149714429692 0.00884919522106999 0.00259461070300738 1.02742820678621
"33" "SRR12805408" "SRR12805327" 0.0359214989589481 0.0351101361812528 0.00682228223729391 0.11892835116965
"34" "SRR12805341" "SRR12805330" 0.0156101696399676 0.0208450365709553 0.0107056005162262 -0.488983959662358
"35" "SRR12805352" "SRR12805330" 0.00783381525414456 0.0142740156131943 0.0036290483818139 -1.77462510318772
"36" "SRR12805363" "SRR12805330" 0.00933294745406601 0.0141031896293213 0.00392768456175784 -1.21451763761813
"37" "SRR12805374" "SRR12805330" 0.0340511010442007 0.0308544717541728 0.00581494838486485 0.549726167535395
"38" "SRR12805381" "SRR12805330" 0.0693688293655848 0.0538614027108645 0.0122936276167381 1.26141991104453
