"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"1" "SRR12805330" "SRR12805327" NA NA NA NA
"2" "SRR12805341" "SRR12805327" NA NA NA NA
"3" "SRR12805352" "SRR12805327" NA NA NA NA
"4" "SRR12805363" "SRR12805327" NA NA NA NA
"5" "SRR12805374" "SRR12805327" NA NA NA NA
"6" "SRR12805381" "SRR12805327" NA NA NA NA
"7" "SRR12805382" "SRR12805327" NA NA NA NA
"8" "SRR12805383" "SRR12805327" NA NA NA NA
"9" "SRR12805384" "SRR12805327" NA NA NA NA
"10" "SRR12805385" "SRR12805327" NA NA NA NA
"11" "SRR12805386" "SRR12805327" NA NA NA NA
"12" "SRR12805387" "SRR12805327" NA NA NA NA
"13" "SRR12805388" "SRR12805327" NA NA NA NA
"14" "SRR12805389" "SRR12805327" NA NA NA NA
"15" "SRR12805390" "SRR12805327" NA NA NA NA
"16" "SRR12805391" "SRR12805327" NA NA NA NA
"17" "SRR12805392" "SRR12805327" NA NA NA NA
"18" "SRR12805393" "SRR12805327" NA NA NA NA
"19" "SRR12805394" "SRR12805327" NA NA NA NA
"20" "SRR12805395" "SRR12805327" NA NA NA NA
"21" "SRR12805396" "SRR12805327" NA NA NA NA
"22" "SRR12805397" "SRR12805327" NA NA NA NA
"23" "SRR12805398" "SRR12805327" NA NA NA NA
"24" "SRR12805399" "SRR12805327" NA NA NA NA
"25" "SRR12805400" "SRR12805327" NA NA NA NA
"26" "SRR12805401" "SRR12805327" NA NA NA NA
"27" "SRR12805402" "SRR12805327" NA NA NA NA
"28" "SRR12805403" "SRR12805327" NA NA NA NA
"29" "SRR12805404" "SRR12805327" NA NA NA NA
"30" "SRR12805405" "SRR12805327" NA NA NA NA
"31" "SRR12805406" "SRR12805327" NA NA NA NA
"32" "SRR12805407" "SRR12805327" NA NA NA NA
"33" "SRR12805408" "SRR12805327" NA NA NA NA
"34" "SRR12805341" "SRR12805330" 0.50724965622 0.512225678378969 0.115927475503386 -0.0429235790511417
"35" "SRR12805352" "SRR12805330" 0.6086171845 0.549464943550676 0.132498988299812 0.446435415910328
"36" "SRR12805363" "SRR12805330" 0.72884353025 0.612391455298048 0.202123992801541 0.576141769900085
"37" "SRR12805374" "SRR12805330" 0.567522618982558 0.520818850770142 0.120741039255619 0.386809393892494
"38" "SRR12805381" "SRR12805330" 0.636020388178571 0.56953296269541 0.149685306297617 0.444181377101676
"39" "SRR12805382" "SRR12805330" 0.428088181439189 0.518623859597429 0.123645613811375 -0.732219084587617
"40" "SRR12805383" "SRR12805330" 0.60396472915 0.54929264569965 0.135918394553132 0.402241974900451
"41" "SRR12805384" "SRR12805330" 0.472552148916667 0.544672247370913 0.134233689131025 -0.537272713885186
"42" "SRR12805385" "SRR12805330" 0.447734243454545 0.534367926445673 0.130702198846974 -0.662832635987694
"43" "SRR12805386" "SRR12805330" 0.611064567022727 0.549748055721403 0.133594710615594 0.458974094249558
"44" "SRR12805387" "SRR12805330" 0.331837443711539 0.357112615305575 0.0831370600140921 -0.304018106843711
"45" "SRR12805388" "SRR12805330" 0.743004296397059 0.546402707572793 0.137229625963364 1.43264683149943
"46" "SRR12805389" "SRR12805330" 0.385988975138889 0.566911328361445 0.151634628233336 -1.19314667982139
"47" "SRR12805390" "SRR12805330" 0.65308781125 0.617782857329079 0.207303981256945 0.170305238263427
"48" "SRR12805391" "SRR12805330" 0.528350224458333 0.531892581364489 0.123888132475189 -0.0285931899640634
"49" "SRR12805392" "SRR12805330" 0.574909369535714 0.525279511444602 0.125430764961271 0.395675320216989
"50" "SRR12805393" "SRR12805330" 0.596218094204545 0.549520407874465 0.134482389261295 0.347240159745733
"51" "SRR12805394" "SRR12805330" NA NA NA NA
"52" "SRR12805395" "SRR12805330" 0.4804208175 0.560370843589089 0.149755850826496 -0.533869131976135
"53" "SRR12805396" "SRR12805330" 0.609425066142857 0.561612954459745 0.148923814166401 0.321050813469554
"54" "SRR12805397" "SRR12805330" 0.520090211905172 0.512005245857081 0.114840758215553 0.0704015383886271
"55" "SRR12805398" "SRR12805330" 0.560323598653846 0.534296479044121 0.129407801675494 0.201124810658567
"56" "SRR12805399" "SRR12805330" 0.57392574775 0.608241082621872 0.195750920170167 -0.17530101438114
"57" "SRR12805400" "SRR12805330" 0.434175600206522 0.507910634074411 0.11728106007386 -0.628703678338629
"58" "SRR12805401" "SRR12805330" 0.48868800925 0.550314251141187 0.138333333121432 -0.445490905919903
"59" "SRR12805402" "SRR12805330" 0.518073189708333 0.503845286496465 0.113668126232529 0.125170561734804
"60" "SRR12805403" "SRR12805330" 0.449978309220588 0.531813408138609 0.126882223910506 -0.644968983013268
"61" "SRR12805404" "SRR12805330" 0.324711993897059 0.320240396478493 0.0893543214089076 0.0500434377214105
"62" "SRR12805405" "SRR12805330" 0.574342143583333 0.549733747178762 0.132898894592013 0.185166298637146
"63" "SRR12805406" "SRR12805330" 0.56558151043421 0.547937159522299 0.137755323197087 0.128084712099786
"64" "SRR12805407" "SRR12805330" 0.5453204699 0.528941146685786 0.12539279411912 0.130624118628813
"65" "SRR12805408" "SRR12805330" 0.57751607875 0.625179571516266 0.198008896875475 -0.24071389477131
"66" "SRR12805352" "SRR12805341" 0.4878223041375 0.490451743269307 0.09785008741652 -0.0268721183724039
"67" "SRR12805363" "SRR12805341" 0.66677718514 0.560839842293854 0.184938651317899 0.572824242478365
"68" "SRR12805374" "SRR12805341" 0.471875791871628 0.409426801717004 0.071411442078184 0.874495575740549
"69" "SRR12805381" "SRR12805341" 0.565014637997143 0.513961820217881 0.117603360952748 0.434110193498421
