"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"1" "SRR12805330" "SRR12805327" 0.0245734315771065 0.01862155704175 0.00447346939998907 1.33048289888182
"2" "SRR12805341" "SRR12805327" 0.0184113256401474 0.0233329866928992 0.00548875686892683 -0.896680463405933
"3" "SRR12805352" "SRR12805327" 0.00954111630224693 0.0132530891970267 0.00337448069175433 -1.1000130787087
"4" "SRR12805363" "SRR12805327" 0.0201774768624836 0.020156195071959 0.00500597845105552 0.00425127489714536
"5" "SRR12805374" "SRR12805327" 0.0457039658597456 0.0478913778849441 0.00972153109425277 -0.225006946332932
"6" "SRR12805381" "SRR12805327" 0.0741274505845932 0.0848114271399905 0.0148470447087067 -0.719602908525759
"7" "SRR12805382" "SRR12805327" 0.0357792225400922 0.0469734191413072 0.0100993020847192 -1.10841288906017
"8" "SRR12805383" "SRR12805327" 0.0652435531920005 0.0694334805962364 0.0111869830122138 -0.374535958413575
"9" "SRR12805384" "SRR12805327" 0.0882190452008651 0.124463877397654 0.0268442774496006 -1.35018840662922
"10" "SRR12805385" "SRR12805327" 0.051816785938349 0.116704730433686 0.030571993461441 -2.12246363905503
"11" "SRR12805386" "SRR12805327" 0.0394667336715391 0.042321129104145 0.00850040753045282 -0.335795127748873
"12" "SRR12805387" "SRR12805327" 0.075510200815212 0.0879060126496067 0.0161956100883098 -0.765380974647082
"13" "SRR12805388" "SRR12805327" 0.173243863809435 0.229435462503923 0.0468081289784101 -1.20046666937715
"14" "SRR12805389" "SRR12805327" 0.155141446842876 0.19273595647569 0.0434337209090878 -0.865560418171502
"15" "SRR12805390" "SRR12805327" 0.194887504054551 0.276146007569119 0.0584109799477415 -1.39115117718052
"16" "SRR12805391" "SRR12805327" 0.0896619367992566 0.127595291626399 0.0280088162472063 -1.35433623800241
"17" "SRR12805392" "SRR12805327" 0.0728725879266342 0.0900697834216846 0.0163620950479999 -1.05103872362314
"18" "SRR12805393" "SRR12805327" 0.0846488313180434 0.145919022708499 0.0311675487607507 -1.9658328558585
"19" "SRR12805394" "SRR12805327" 0.05037339486174 0.0821107189572781 0.0200388455882647 -1.58379004198347
"20" "SRR12805395" "SRR12805327" 0.0499848159758701 0.0906320366099155 0.0247020988118922 -1.64549664154354
"21" "SRR12805396" "SRR12805327" 0.0501237100455611 0.0420363988169305 0.00866354352396194 0.9334876896806
"22" "SRR12805397" "SRR12805327" 0.0174313732850431 0.0259130690302439 0.00610366193547498 -1.38960771990081
"23" "SRR12805398" "SRR12805327" 0.0248280700407917 0.0357105102046641 0.00842473872021771 -1.29172435196794
"24" "SRR12805399" "SRR12805327" 0.0262597760447767 0.0330583091873902 0.00911485919212694 -0.745873633296034
"25" "SRR12805400" "SRR12805327" 0.0191806089248542 0.0219279387848003 0.00492980758178038 -0.557289471114386
