"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"1" "SRR12805330" "SRR12805327" 0.00332069488897469 0.00378984254860203 0.000885609630859208 -0.529745435550628
"2" "SRR12805341" "SRR12805327" 0.00187077580751638 0.00238597209082444 0.000718358692508274 -0.717185284567479
"3" "SRR12805352" "SRR12805327" 0.00145003178782695 0.00140134910198209 0.000445221599418126 0.109344842901787
"4" "SRR12805363" "SRR12805327" 0.00243945079399139 0.00195968299879376 0.000472126605254415 1.01618462051953
"5" "SRR12805374" "SRR12805327" 0.00486483511276464 0.00494601240536178 0.00109648404805858 -0.0740341756369985
"6" "SRR12805381" "SRR12805327" 0.00635720011916554 0.00887213345357204 0.00190409591018945 -1.32080181515451
"7" "SRR12805382" "SRR12805327" 0.00313037797278639 0.00380898038123503 0.00146092872146727 -0.464500696356418
"8" "SRR12805383" "SRR12805327" 0.00661296999610356 0.00745751721063642 0.00170951662289682 -0.494026909841774
"9" "SRR12805384" "SRR12805327" 0.0101078042315408 0.0104669095860012 0.00213498315656294 -0.168200556222857
"10" "SRR12805385" "SRR12805327" 0.0154646337503794 0.0157444829465699 0.00254258153369443 -0.11006498414383
"11" "SRR12805386" "SRR12805327" 0.00331937176204719 0.00517727746257298 0.00155859975695635 -1.19203515349824
"12" "SRR12805387" "SRR12805327" 0.00543127878183733 0.00699788638653422 0.00214987343620872 -0.728697596012716
"13" "SRR12805388" "SRR12805327" 0.031350261419865 0.0301940383191185 0.00583680298201922 0.198091849991898
"14" "SRR12805389" "SRR12805327" 0.0248607945838581 0.0204565260719161 0.00364543958871186 1.20815841403048
"15" "SRR12805390" "SRR12805327" 0.0431978498546292 0.0332707274266959 0.00493949209138854 2.00974558603711
"16" "SRR12805391" "SRR12805327" 0.0141215309995678 0.0129925257112464 0.00291102993543871 0.387837058828186
"17" "SRR12805392" "SRR12805327" 0.0108025915681651 0.00718167865133353 0.0016985436488303 2.1317750175717
"18" "SRR12805393" "SRR12805327" 0.0383177526188829 0.0326331445307275 0.00426043411361618 1.3342790749862
"19" "SRR12805394" "SRR12805327" 0.0154262704630035 0.0131009621138417 0.00210153748912414 1.10647959467568
"20" "SRR12805395" "SRR12805327" 0.0126810637631284 0.0107747281447632 0.0019531463836769 0.97603315056009
"21" "SRR12805396" "SRR12805327" 0.00265034828643318 0.00245249899891407 0.000768061816499134 0.257595525866548
"22" "SRR12805397" "SRR12805327" 0.00107548604243384 0.000945886629027004 0.000310588380944522 0.417270642941365
"23" "SRR12805398" "SRR12805327" 0.0047255725224206 0.00202206597091656 0.000925512243208475 2.9210921533915
"24" "SRR12805399" "SRR12805327" 0.00485310396631176 0.00261078929826949 0.000960066574781766 2.33558247619648
"25" "SRR12805400" "SRR12805327" 0.00382856907269997 0.00360114608675765 0.000962668489373363 0.236242266629458
"26" "SRR12805401" "SRR12805327" 0.0034636722661606 0.00332467548870854 0.000841332550686815 0.165210269516604
"27" "SRR12805402" "SRR12805327" 0.00683519276819863 0.00713549510599344 0.00151570875102265 -0.1981266767723
"28" "SRR12805403" "SRR12805327" 0.00273555760581264 0.00266749242111157 0.000639575151156167 0.106422497149906
"29" "SRR12805404" "SRR12805327" 0.00443021924617373 0.00415290301286169 0.000890590168235114 0.311384790898374
"30" "SRR12805405" "SRR12805327" 0.00236038749088751 0.00240870939905371 0.000702901777412243 -0.0687463166533816
"31" "SRR12805406" "SRR12805327" 0.00117001246613139 0.00257593642133466 0.000853371869709761 -1.64749273453488
"32" "SRR12805407" "SRR12805327" 0.00477440460356173 0.00235877723732571 0.00098975981787931 2.44061975703542
"33" "SRR12805408" "SRR12805327" 0.00848762915666665 0.00807939903173899 0.00183307947737215 0.222701814060392
"34" "SRR12805341" "SRR12805330" 0.00304934646239923 0.0031940667589522 0.00101211870720625 -0.142987473230722
"35" "SRR12805352" "SRR12805330" 0.00316121927677704 0.00488479248741935 0.00106676525879295 -1.61570054558446
"36" "SRR12805363" "SRR12805330" 0.00298889792869363 0.00383643130482925 0.0010659568907323 -0.795091605959197
"37" "SRR12805374" "SRR12805330" 0.0072935223844847 0.00790678049830255 0.00160556940094721 -0.381956777113496
"38" "SRR12805381" "SRR12805330" 0.00854901853837705 0.0135484297386495 0.00294208511604163 -1.69927483505262
"39" "SRR12805382" "SRR12805330" 0.00165324789928338 0.0044660876203417 0.00118116630315866 -2.38140870894831
"40" "SRR12805383" "SRR12805330" 0.00724600492747645 0.0106039668703736 0.0026379469731509 -1.27294520211158
"41" "SRR12805384" "SRR12805330" 0.00721915276277346 0.0100314129505636 0.00196332139813774 -1.43239929563118
"42" "SRR12805385" "SRR12805330" 0.0170716321346255 0.014762790891901 0.00252897200529147 0.912956425730936
"43" "SRR12805386" "SRR12805330" 0.0043811047980819 0.0081641756312749 0.00181135518291096 -2.08853065863834
"44" "SRR12805387" "SRR12805330" 0.00269540756560508 0.00635326722893679 0.00168420378102773 -2.17186287344612
"45" "SRR12805388" "SRR12805330" 0.0260780888601157 0.0303121163447129 0.00584989380295849 -0.723778520980303
"46" "SRR12805389" "SRR12805330" 0.0218036638013607 0.0218224803585756 0.0037998395574857 -0.00495193466205549
"47" "SRR12805390" "SRR12805330" 0.0422715152063316 0.041663450766708 0.00736959186789453 0.0825099205659648
"48" "SRR12805391" "SRR12805330" 0.0129057467763849 0.0132824905959334 0.00307919760710291 -0.122351296545376
"49" "SRR12805392" "SRR12805330" 0.0117739177993343 0.00700117793384669 0.00184879808710022 2.5815365662637
"50" "SRR12805393" "SRR12805330" 0.0433951003383045 0.03463251587167 0.0047043683268122 1.86264847008105
"51" "SRR12805394" "SRR12805330" 0.0148297545723385 0.0138728740711466 0.00262202732784676 0.364939179324892
