"Chlorophyll","Depth","DNA_per_g","org_matter","pH","water_content","Area","Faith","Richness","Shannon","Simpson","Inv.Simpson","Pilou","Glacier","logRichness","logChlorophyll","logDepth","logDNA_per_g","logorg_matter","logpH","logwater_content","logArea","logFaith","logShannon","logSimpson","logInvSimp","logPilou"
0.066,0.28,6.74,0.61,8.49,28,3859.44657493506,5.4427371375,16,2.66835265225833,0.924036533749165,13.1642228739003,0.333275731210037,"Canada",2.77258872223978,-2.71810053695571,-1.27296567581289,1.90805992492422,-0.49429632181478,2.13888900032326,3.3322045101752,8.25827907781063,1.69428208460593,0.981461297826188,-0.0790036694325138,2.57750276149842,-1.09878510997074
0.072,0.29,16.36,0.87,8.53,35,4128.05274681699,5.2834429865,17,2.72586928173377,0.925925925925926,13.5,0.326811225800705,"Canada",2.83321334405622,-2.63108915996608,-1.23787435600162,2.7948393311746,-0.139262067333508,2.14358936150359,3.55534806148941,8.32556108489396,1.66457796598239,1.00278737971585,-0.0769610411361282,2.60268968544438,-1.11837256591091
0.048,0.36,8.41,0.64,8.34,32,6927.21180116549,10.1269233035,36,3.48792331902897,0.966798159105851,30.1188118811881,0.26979016316358,"Canada",3.58351893845611,-3.03655426807425,-1.02165124753198,2.12942147398486,-0.446287102628419,2.12106321637066,3.46573590279973,8.84321267373035,2.3151975508545,1.24930652158173,-0.0337655342652436,3.40514995597798,-1.31011079560785
0.024,0.25,7.89,0.59,7.8,32,1134.11494794592,7.878946147,22,2.98615453036565,0.945473251028807,18.3396226415094,0.305875207246533,"Canada",3.09104245335832,-3.72970144863419,-1.38629436111989,2.06559613485778,-0.527632742082372,2.05412373369555,3.46573590279973,7.03360784418228,2.06419415723575,1.09398644940742,-0.0560696821047516,2.90906389090832,-1.1845780796665
0.045,0.17,17,0.88,8.64,34,881.216739331937,5.7169321535,20,2.88211877705279,0.936980609418283,15.8681318681319,0.312771811316334,"Canada",2.99573227355399,-3.10109278921182,-1.77195684193188,2.83321334405622,-0.127833371509885,2.15640258281596,3.52636052461616,6.78130361081215,1.74343232471098,1.05852571013987,-0.065092691281983,2.76431281293592,-1.16228139164693
0.072,0.17,7.26,0.6,8.85,31,428.827397215007,7.0347719705,28,3.13786628270761,0.948788294467307,19.5267857142857,0.284732912271768,"Canada",3.3322045101752,-2.63108915996608,-1.77195684193188,1.9823798288367,-0.510825623765991,2.18041745901984,3.43398720448515,6.06105450047442,1.95086527646604,1.14354304113638,-0.052569588011969,2.97178714938167,-1.25620368803664
0.023,0.49,6.7,0.42,7.6,22,6980.61887627652,8.5243186815,29,3.23688780169008,0.955785667324129,22.6171003717472,0.283843688105054,"Taylor",3.36729582998647,-3.77226106305299,-0.713349887877465,1.90210752639692,-0.867500567704723,2.02814824729229,3.09104245335832,8.85089285604898,2.14292309991715,1.17461231314169,-0.0452215884264186,3.11870627377734,-1.2593315863396
0.101,0.32,0.88,0.42,7.94,26,1133.32954978252,4.2756630035,13,2.41388285293582,0.898545706371191,9.85665529010239,0.350317133458127,"Taylor",2.56494935746154,-2.29263476214088,-1.13943428318836,-0.127833371509885,-0.867500567704723,2.07191327525904,3.25809653802148,7.03291508350338,1.45293917890175,0.881236593302208,-0.106977704412728,2.28814689099565,-1.04891643916084
0.028,0.33,0.79,0.44,7.98,23,549.778714378214,4.0232837735,13,2.45624551223688,0.906804733727811,10.7301587301587,0.353537090738217,"Taylor",2.56494935746154,-3.57555076880693,-1.10866262452161,-0.23572233352107,-0.82098055206983,2.07693841146172,3.13549421592915,6.30951585977291,1.39209842826273,0.898633969554632,-0.0978281401067523,2.37305834965143,-1.03976687485486
0.037,0.12,13.43,0.82,8.9,34,153.9380400259,2.0012819875,8,1.93619588468874,0.837596668649613,6.15750915750916,0.402798853375305,"Canada",2.07944154167984,-3.29683736633791,-2.12026353620009,2.59749101053515,-0.198450938723838,2.18605127673809,3.52636052461616,5.03655018396003,0.693787968961198,0.660725163843844,-0.177218596690628,1.81767233822366,-0.909317964777072
0.034,0.34,2,0.4,7.66,24,5584.18094175586,6.5153146295,23,3.05260275762953,0.949134628088255,19.6597402597403,0.302706547269772,"Taylor",3.13549421592915,-3.38139475436598,-1.07880966137193,0.693147180559945,-0.916290731874155,2.0360119837525,3.17805383034795,8.6276930475268,1.8741555025036,1.11599458986922,-0.0522046273271316,2.97857290302139,-1.1949914336219
