"Chlorophyll","Depth","DNA_per_g","org_matter","pH","water_content","Area","Faith","Richness","Shannon","Simpson","Inv.Simpson","Pilou","logRichness","Glacier","logChlorophyll","logDepth","logDNA_per_g","logorg_matter","logpH","logwater_content","logArea","logFaith","logShannon","logSimpson","logInvSimp","logPilou"
0.066,0.28,6.74,0.61,8.49,28,3859.44657493506,34.994088305,416,5.09090296772263,0.984499260538916,64.5130512973669,0.16324832387228,6.03068526026126,"Canada",-2.71810053695571,-1.27296567581289,1.90805992492422,-0.49429632181478,2.13888900032326,3.3322045101752,8.25827907781063,3.55517914165183,1.62745521516729,-0.0156221320064222,4.16686754902821,-1.81248277812314
0.072,0.29,16.36,0.87,8.53,35,4128.05274681699,32.542779801,364,5.07898700167485,0.988029663833052,83.5398426621592,0.167543477075493,5.89715386763674,"Canada",-2.63108915996608,-1.23787435600162,2.7948393311746,-0.139262067333508,2.14358936150359,3.55534806148941,8.32556108489396,3.48255552533949,1.62511183258662,-0.0120425575624619,4.42532367568396,-1.78651239676828
0.048,0.36,8.41,0.64,8.34,32,6927.21180116549,41.468917365,471,5.16430628811981,0.985333492614559,68.1825586501019,0.160090367245424,6.15485809401642,"Canada",-3.03655426807425,-1.02165124753198,2.12942147398486,-0.446287102628419,2.12106321637066,3.46573590279973,8.84321267373035,3.72494416745501,1.64177078340981,-0.0147751239300439,4.22218879387451,-1.83201682790124
0.024,0.25,7.89,0.59,7.8,32,1134.11494794592,36.947367903,435,4.99590411143986,0.980957503889388,52.5141238938053,0.161465289198285,6.07534603108868,"Canada",-3.72970144863419,-1.38629436111989,2.06559613485778,-0.527632742082372,2.05412373369555,3.46573590279973,7.03360784418228,3.609494410838,1.60861839901266,-0.0192261395300123,3.9610821599651,-1.82346508698446
0.045,0.17,17,0.88,8.64,34,881.216739331937,35.686470309,436,5.00658109103475,0.977554037570715,44.5514422983852,0.160844287707208,6.07764224334903,"Canada",-3.10109278921182,-1.77195684193188,2.83321334405622,-0.127833371509885,2.15640258281596,3.52636052461616,6.78130361081215,3.57477163401223,1.6107532651852,-0.0227017072483106,3.79664452821623,-1.82731853909396
0.072,0.17,7.26,0.6,8.85,31,428.827397215007,34.767528867,379,4.72802808975401,0.978550314004396,46.6207290962186,0.164807468991393,5.93753620508243,"Canada",-2.63108915996608,-1.77195684193188,1.9823798288367,-0.510825623765991,2.18041745901984,3.43398720448515,6.06105450047442,3.54868387265719,1.55350822123547,-0.021683073943779,3.84204527261485,-1.80297734098404
0.023,0.49,6.7,0.42,7.6,22,6980.61887627652,37.592547021,451,5.23981024760933,0.990051675259452,100.519436797649,0.161999012718281,6.11146733950268,"Taylor",-3.77226106305299,-0.713349887877465,1.90210752639692,-0.867500567704723,2.02814824729229,3.09104245335832,8.85089285604898,3.62680581322156,1.65628528538897,-0.00999813998395981,4.61035110977121,-1.82016503809992
0.101,0.32,0.88,0.42,7.94,26,1133.32954978252,25.673520008,303,4.73635135805902,0.98204588845755,55.6975485885597,0.171874660906549,5.71373280550937,"Taylor",-2.29263476214088,-1.13943428318836,-0.127833371509885,-0.867500567704723,2.07191327525904,3.25809653802148,7.03291508350338,3.24546011084257,1.55526708360921,-0.0181172421292913,4.01993613498734,-1.7609897834706
0.028,0.33,0.79,0.44,7.98,23,549.778714378214,25.483670683,287,4.85688706247288,0.986670314001722,75.0205218734484,0.174339325822811,5.65948221575962,"Taylor",-3.57555076880693,-1.10866262452161,-0.23572233352107,-0.82098055206983,2.07693841146172,3.13549421592915,6.30951585977291,3.23803788167035,1.58039771056555,-0.0134193237156063,4.31776170108713,-1.74675173043147
0.037,0.12,13.43,0.82,8.9,34,153.9380400259,27.166314145,263,4.28104937267317,0.963237311578031,27.2014926798015,0.172866239162734,5.57215403217776,"Canada",-3.29683736633791,-2.12026353620009,2.59749101053515,-0.198450938723838,2.18605127673809,3.52636052461616,5.03655018396003,3.30197775523685,1.45419816007299,-0.0374554680744051,3.30327184973009,-1.75523716757573
