"","AC-BB-Stn101-0cm-0d-singlerep","AC-BB-Stn101-0cm-14d-rep1","AC-BB-Stn101-0cm-14d-rep2","AC-BB-Stn101-0cm-14d-rep3","AC-BB-Stn105-0cm-0d-singlerep","AC-BB-Stn105-0cm-14d-rep1","AC-BB-Stn105-0cm-14d-rep2","AC-BB-Stn105-0cm-14d-rep3","AC-BB-Stn108-0cm-0d-singlerep","AC-BB-Stn108-0cm-14d-rep1","AC-BB-Stn108-0cm-14d-rep2","AC-BB-Stn108-0cm-14d-rep3","AC-BB-Stn111-0cm-0d-singlerep","AC-BB-Stn111-0cm-14d-rep1","AC-BB-Stn111-0cm-14d-rep2","AC-BB-Stn111-0cm-14d-rep3","AC-BB-Stn115-0cm-0d-singlerep","AC-BB-Stn115-0cm-14d-rep1","AC-BB-Stn115-0cm-14d-rep2","AC-BB-Stn115-0cm-14d-rep3","AC-BB-Stn117-0cm-0d-singlerep","AC-BB-Stn117-0cm-14d-rep1","AC-BB-Stn117-0cm-14d-rep2","AC-BB-Stn117-0cm-14d-rep3","AC-BB-Stn124-0cm-0d-singlerep","AC-BB-Stn124-0cm-14d-rep1","AC-BB-Stn124-0cm-14d-rep2","AC-BB-Stn124-0cm-14d-rep3","AC-BB-Stn170-0cm-0d-singlerep","AC-BB-Stn170-0cm-14d-rep1","AC-BB-Stn170-0cm-14d-rep2","AC-BB-Stn170-0cm-14d-rep3","AC-BB-Stn172-0cm-0d-singlerep","AC-BB-Stn172-0cm-14d-rep1","AC-BB-Stn172-0cm-14d-rep2","AC-BB-Stn172-0cm-14d-rep3","AC-BB-Stn200-0cm-0d-singlerep","AC-BB-Stn200-0cm-14d-rep1","AC-BB-Stn200-0cm-14d-rep2","AC-BB-Stn200-0cm-14d-rep3","AC-BB-Stn210-0cm-0d-singlerep","AC-BB-Stn210-0cm-14d-rep1","AC-BB-Stn210-0cm-14d-rep2","AC-BB-Stn210-0cm-14d-rep3","AC-BB-Stn250-0cm-0d-singlerep","AC-BB-Stn250-0cm-14d-rep1","AC-BB-Stn250-0cm-14d-rep2","AC-BB-Stn250-0cm-14d-rep3","AC-BB-Stn254-0cm-0d-singlerep","AC-BB-Stn254-0cm-14d-rep1","AC-BB-Stn254-0cm-14d-rep2","AC-BB-Stn254-0cm-14d-rep3","MC-BB-Stn115-0cm-0d","MC-BB-Stn115-0cm-14d","MC-BB-Stn155-0cm-14d-B1","MC-BB-Stn155-0cm-14d-B2","MC-BB-Stn155-0cm-14d-B3","MC-BB-Stn155-Top-0d-B1","MC-BB-Stn155-Top-0d-B2","MC-BB-Stn155-Top-0d-B3","MC-BB-Stn155-Top-7d-B1","MC-BB-Stn155-Top-7d-B2","MC-BB-Stn155-Top-7d-B3","MC-BB-Stn176-0cm-0d","MC-BB-Stn176-0cm-14d","MC-BB-StnFbay-0cm-0d-B4","MC-BB-StnFbay-0cm-0d-B5","MC-BB-StnFbay-0cm-0d-B6","MC-BB-StnFbay-0cm-14d-B4","MC-BB-StnFbay-0cm-14d-B5","MC-BB-StnFbay-0cm-14d-B6","MC-BB-StnFbay-0cm-7d-B4","MC-BB-StnFbay-0cm-7d-B5","MC-BB-StnFbay-0cm-7d-B6","MC-LS-Stn640-0cm-0d-B7","MC-LS-Stn640-0cm-0d-B8","MC-LS-Stn640-0cm-0d-B9","MC-LS-Stn640-0cm-14d-B7","MC-LS-Stn640-0cm-14d-B8","MC-LS-Stn640-0cm-14d-B9","MC-LS-Stn640-0cm-7d-B7","MC-LS-Stn640-0cm-7d-B8","MC-LS-Stn640-0cm-7d-B9","MC-SS-Stn0003-0cm-0d-B1","MC-SS-Stn0003-0cm-0d-B2","MC-SS-Stn0003-0cm-0d-B3","MC-SS-Stn0003-0cm-14d-B1","MC-SS-Stn0003-0cm-14d-B2","MC-SS-Stn0003-0cm-14d-B3","MC-SS-Stn0003-0cm-7d-B1","MC-SS-Stn0003-0cm-7d-B2","MC-SS-Stn0003-0cm-7d-B3","MC-SS-Stn0003-255cm-0d-B4","MC-SS-Stn0003-255cm-0d-B5","MC-SS-Stn0003-255cm-0d-B6","MC-SS-Stn0003-255cm-14d-B4","MC-SS-Stn0003-255cm-14d-B5","MC-SS-Stn0003-255cm-14d-B6","MC-SS-Stn0003-255cm-7d-B4","MC-SS-Stn0003-255cm-7d-B5","MC-SS-Stn0003-255cm-7d-B6","MC-SS-Stn0003-550cm-0d-B7","MC-SS-Stn0003-550cm-0d-B8","MC-SS-Stn0003-550cm-0d-B9","MC-SS-Stn0003-550cm-14d-B7","MC-SS-Stn0003-550cm-14d-B8","MC-SS-Stn0003-550cm-14d-B9","MC-SS-Stn0003-550cm-7d-B7","MC-SS-Stn0003-550cm-7d-B8","MC-SS-Stn0003-550cm-7d-B9","MC-SS-Stn0013-0cm-0d-B10","MC-SS-Stn0013-0cm-0d-B11","MC-SS-Stn0013-0cm-0d-B12","MC-SS-Stn0013-0cm-14d-B10","MC-SS-Stn0013-0cm-14d-B11","MC-SS-Stn0013-0cm-14d-B12","MC-SS-Stn0013-0cm-7d-B10","MC-SS-Stn0013-0cm-7d-B11","MC-SS-Stn0013-0cm-7d-B12","MC-SS-Stn0013-400cm-0d-B13","MC-SS-Stn0013-400cm-0d-B14","MC-SS-Stn0013-400cm-0d-B15","MC-SS-Stn0013-400cm-14d-B13","MC-SS-Stn0013-400cm-14d-B14","MC-SS-Stn0013-400cm-14d-B15","MC-SS-Stn0013-400cm-7d-B13","MC-SS-Stn0013-400cm-7d-B14","MC-SS-Stn0013-400cm-7d-B15","MC-SS-Stn0013-900cm-14d-B16","MC-SS-Stn0013-900cm-14d-B17","MC-SS-Stn0013-900cm-14d-B18","MC-SS-Stn0013-Bottom-0d-B16","MC-SS-Stn0013-Bottom-0d-B17","MC-SS-Stn0013-Bottom-0d-B18","MC-SS-Stn0013-Bottom-7d-B16","MC-SS-Stn0013-Bottom-7d-B17","MC-SS-Stn0013-Bottom-7d-B18","MC-SS-Stn0022-0cm-0d-B1","MC-SS-Stn0022-0cm-0d-B2","MC-SS-Stn0022-0cm-0d-B3","MC-SS-Stn0022-0cm-14d-B1","MC-SS-Stn0022-0cm-14d-B2","MC-SS-Stn0022-0cm-14d-B3","MC-SS-Stn0022-0cm-7d-B1","MC-SS-Stn0022-0cm-7d-B2","MC-SS-Stn0022-0cm-7d-B3","MC-SS-Stn0022-400cm-0d-B4","MC-SS-Stn0022-400cm-0d-B5","MC-SS-Stn0022-400cm-0d-B6","MC-SS-Stn0022-400cm-14d-B4","MC-SS-Stn0022-400cm-14d-B5","MC-SS-Stn0022-400cm-14d-B6","MC-SS-Stn0022-400cm-7d-B4","MC-SS-Stn0022-400cm-7d-B5","MC-SS-Stn0022-400cm-7d-B6","MC-SS-Stn0022-690cm-14d-B7","MC-SS-Stn0022-690cm-14d-B8","MC-SS-Stn0022-690cm-14d-B9","MC-SS-Stn0022-Bottom-0d-B7","MC-SS-Stn0022-Bottom-0d-B8","MC-SS-Stn0022-Bottom-0d-B9","MC-SS-Stn0022-Bottom-7d-B7","MC-SS-Stn0022-Bottom-7d-B8","MC-SS-Stn0022-Bottom-7d-B9","MC-SV-StnJ2007-0cm-0d-B1","MC-SV-StnJ2007-0cm-0d-B2","MC-SV-StnJ2007-0cm-0d-B3","MC-SV-StnJ2007-0cm-7d-B1","MC-SV-StnJ2007-0cm-7d-B2","MC-SV-StnJ2007-0cm-7d-B3","MC-SV-StnJ2007-0cm-b4past","MC-SV-StnJ2016-0cm-0d-B1","MC-SV-StnJ2016-0cm-0d-B2","MC-SV-StnJ2016-0cm-0d-B3","MC-SV-StnJ2016-0cm-7d-B1","MC-SV-StnJ2016-0cm-7d-B2","MC-SV-StnJ2016-0cm-7d-B3","Kingdom","Phylum","Class","Order","Family","Genus","ASVID","Max"
"ASV2",0,0,1.588358379,0.881846366,0,1.02189781,13.39159664,0,0,0,4.438374872,1.143168209,0,0,0,0,0,0,0,0,0,0,3.70803708,0,0,9.101835664,0,10.78128711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.726232634,0,2.702100396,0.05647484,0,0,0,0,0,0,0,0,0,0,0.217163999,0,0.914091906,17.39316419,0,0,33.45679012,0,0.184658382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045099218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074281941,38.92616366,0,0,0,0,0,0,0.118196324,0.092496242,0,0,0,0,3.869257951,0.127402648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae","Symbiobacterium","ASV2",38.92616366
"ASV5",0,0,4.793608522,0.750947296,0,0,2.877310924,0,0,0,4.771252987,0,0,0,0,0,0,0,0,0,0,0,13.87813878,0,0,5.659965035,0,13.27475659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.969218197,0,1.922112653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161310336,3.668987249,3.261202327,0.96868476,6.89674523,5.270368281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066782423,0.022464144,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae","Symbiobacterium","ASV5",13.87813878
"ASV7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090995574,3.961230316,0.028197155,0,5.07295174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Thermincolales","Thermincolaceae","Thermincola","ASV7",5.07295174
"ASV10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.85262128,0,0,37.16341213,0,0,0,0,0,0,0,0,0,0.715547703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfotomaculales_fa","Desulfohalotomaculum","ASV10",37.16341213
"ASV14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.961808348,0,0,2.861952862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823126564,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Thermincolales","Thermincolaceae","Thermincola","ASV14",2.861952862
"ASV20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.02028146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038804812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.11804833,0,0,54.87590163,0.127244451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Sulfobacillia","Sulfobacillales","Sulfobacillaceae","Unclassified","ASV20",86.02028146
"ASV23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004199468,0,0,0,0,0,0,67.11187282,0,0,51.28489987,0,0,0.379858657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Vulcanibacillus","ASV23",67.11187282
"ASV24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.451084511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373279848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066178599,0.00198209,17.90116495,0,0,29.32548956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfallas-Sporotomaculum","BRH-c8a","ASV24",29.32548956
"ASV26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.96498599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043675274,0,0,0,0,0,0,0,0,0,0,0,0,0,16.52018612,25.17596417,5.589022758,21.57691829,23.040357,9.112470353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087527352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.713947056,7.292640577,1.249351996,0,0,0,0,6.996736448,6.612973129,4.2234145,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Caloranaerobacter","ASV26",25.17596417
"ASV30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198209,17.34205565,0,0,13.11145137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ASV30",17.34205565
