Acidobacteria Actinobacteria Armatimonadetes Bacteroidetes BRC1 Caldiserica Chlamydiae Chloroflexi Cyanobacteria Deinococcus-Thermus Dependentiae Elusimicrobia FBP Fibrobacteres Firmicutes Gemmatimonadetes Hydrogenedentes Kiritimatiellaeota Omnitrophicaeota Patescibacteria Planctomycetes Proteobacteria Thermotogae Verrucomicrobia WPS-2
0 555 781 889 2366 0 0 12 657 84 7 0 0 2 0 21 36 0 0 0 81 34 1552 0 10 1031
1 466 829 576 1977 0 0 52 1260 119 0 0 0 0 0 17 18 0 0 0 58 47 1764 0 8 946
10 157 53 0 1568 6 0 5 85 2663 0 0 0 7 5 0 65 0 0 0 30 201 950 0 222 2
11 351 89 47 1394 1 0 0 58 1267 0 0 0 17 12 0 136 0 0 0 23 318 1081 0 311 4
12 142 35 6 1200 0 0 0 89 1565 0 0 0 12 0 0 99 0 0 0 12 223 736 0 170 0
14 0 762 54 129 0 0 0 178 3911 12 0 0 25 0 0 0 0 0 0 13 81 260 0 0 0
158 132 551 9 724 0 0 24 284 1449 34 0 0 17 39 0 212 0 0 0 22 172 635 0 81 1
159 167 555 30 865 3 0 18 282 1437 34 0 1 19 72 0 164 0 0 0 63 186 714 0 75 1
16 0 1300 12 206 0 0 0 72 4119 62 0 0 10 0 2 0 0 0 0 1 405 300 0 0 0
160 105 157 7 940 0 0 4 262 615 26 0 0 16 40 0 385 0 0 0 11 103 863 0 107 3
161 163 225 7 705 1 0 4 257 923 17 0 3 30 35 0 304 0 0 0 35 106 809 0 115 8
162 67 131 7 683 0 0 1 89 415 24 0 0 14 19 0 224 0 0 1 22 116 1033 0 91 3
163 188 436 24 684 0 0 5 271 454 16 0 0 18 31 0 327 2 0 0 36 198 1157 0 241 4
166 161 384 3 817 0 0 2 193 1227 2 0 0 8 12 0 295 0 0 0 21 57 638 0 198 0
168 149 238 20 872 0 0 2 314 527 36 0 0 34 47 0 522 0 0 0 46 165 922 0 183 5
17 88 24 5 698 3 0 1 105 2021 0 0 0 5 0 0 89 0 0 0 7 175 523 0 73 0
172 152 434 19 780 0 0 0 296 401 15 0 0 16 24 0 323 0 0 0 14 85 807 0 190 1
177 63 213 551 1722 0 0 0 2423 1474 2 0 0 7 0 0 16 0 0 0 5 58 2165 0 90 923
178 282 1558 166 701 0 0 0 247 739 0 0 1 0 32 3 40 0 0 0 19 84 1986 0 25 72
179 45 1598 68 1060 0 0 0 33 1317 0 0 0 0 11 0 32 0 0 0 12 13 1570 0 18 19
18 307 404 5 550 0 0 0 278 172 0 0 0 2 0 0 163 0 0 0 48 545 511 0 670 8
2 631 805 1021 2159 0 0 15 647 15 0 0 0 1 0 31 14 0 0 0 102 22 1918 0 17 962
22 216 467 10 762 1 0 27 398 1249 9 5 0 5 63 0 259 0 0 0 76 263 906 0 33 0
23 52 397 2 1335 0 0 0 11 608 7 0 0 151 4 0 150 0 0 0 57 71 396 0 18 0
