OTUs	HS122	HS123	HS124	HS125	HS126	HS127	HS129	HS130	HS132	HS133	HS134	HS135	HS136	HS137	HS138	HS139	Phylum	Class	Order	Family 	Genus
10994	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
10995	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
10996	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
25672	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Achromatium
15496	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
11026	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Acidaminococcus
5565	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium
5566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium
5567	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium
5568	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium
5569	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium
5979	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Aeriscardovia
24356	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
14557	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia
15156	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15157	0	1	0	2	0	0	2	0	4	3	0	0	1	1	1	0	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15158	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15159	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15160	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15161	11	6	0	9	4	2	6	3	16	12	4	11	4	5	13	4	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15162	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15164	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15165	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
15167	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ahrensia
26776	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
26777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
26778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
25557	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax
25558	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax
7426	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cyclobacteriaceae	Algoriphagus
7427	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cyclobacteriaceae	Algoriphagus
7428	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cyclobacteriaceae	Algoriphagus
7429	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cyclobacteriaceae	Algoriphagus
7430	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cyclobacteriaceae	Algoriphagus
