"","Sum","corrcoeff","R.Procrustes","Rank","Type","Truncated"
"0.018",243525,0.85027562009031,0.607694197890321,"Phylum","Rare",0.01
"0.058",243525,0.85027562009031,0.607694197890321,"Phylum","Rare",0.05
"0.19",243525,0.85027562009031,0.607694197890321,"Phylum","Rare",0.1
"0.158",243525,0.85027562009031,0.607694197890321,"Phylum","Rare",0.15
"0.29",243525,0.85027562009031,0.607694197890321,"Phylum","Rare",0.2
"0.258",183369,0.781670063647879,0.569979965934551,"Phylum","Rare",0.25
"0.39",183369,0.781670063647879,0.569979965934551,"Phylum","Rare",0.3
"0.358",183369,0.781670063647879,0.569979965934551,"Phylum","Rare",0.35
"0.49",183369,0.781670063647879,0.569979965934551,"Phylum","Rare",0.4
"0.458",124876,0.654345987584012,0.47977530961455,"Phylum","Rare",0.45
"0.59",124876,0.654345987584012,0.47977530961455,"Phylum","Rare",0.5
"0.558",124876,0.654345987584012,0.47977530961455,"Phylum","Rare",0.55
"0.69",124876,0.654345987584012,0.47977530961455,"Phylum","Rare",0.6
"0.658",85308,0.71169732312131,0.608186658134973,"Phylum","Rare",0.65
"0.79",85308,0.71169732312131,0.608186658134973,"Phylum","Rare",0.7
"0.758",67229,0.715868588761383,0.58656335700143,"Phylum","Rare",0.75
"0.89",54495,0.712613038945077,0.505015488458565,"Phylum","Rare",0.8
"0.858",42689,0.708174821929328,0.514524381962762,"Phylum","Rare",0.85
"0.910",22902,0.580643138706958,0.520947018617031,"Phylum","Rare",0.9
"0.958",15359,NA,NA,"Phylum","Rare",0.95
"0.998",2629,NA,NA,"Phylum","Rare",0.99
"0.019",243846,0.856625964188181,0.607639367304327,"Class","Rare",0.01
"0.059",243846,0.856625964188181,0.607639367304327,"Class","Rare",0.05
"0.110",243846,0.856625964188181,0.607639367304327,"Class","Rare",0.1
"0.159",243846,0.856625964188181,0.607639367304327,"Class","Rare",0.15
"0.210",243846,0.856625964188181,0.607639367304327,"Class","Rare",0.2
"0.259",186592,0.788446494828331,0.615650734694813,"Class","Rare",0.25
"0.310",186592,0.788446494828331,0.615650734694813,"Class","Rare",0.3
"0.359",186592,0.788446494828331,0.615650734694813,"Class","Rare",0.35
"0.410",186592,0.788446494828331,0.615650734694813,"Class","Rare",0.4
"0.459",152581,0.802794085637591,0.523504203384223,"Class","Rare",0.45
"0.510",152581,0.802794085637591,0.523504203384223,"Class","Rare",0.5
"0.559",120175,0.78071266299469,0.523966830274534,"Class","Rare",0.55
"0.610",120175,0.78071266299469,0.523966830274534,"Class","Rare",0.6
"0.659",102116,0.783058654040764,0.644114422586226,"Class","Rare",0.65
"0.710",92425,0.76043912027851,0.592114837921032,"Class","Rare",0.7
"0.759",73504,0.752197892674874,0.507041275472998,"Class","Rare",0.75
"0.810",57435,0.716658824842499,0.434538320035411,"Class","Rare",0.8
"0.859",45063,0.664827862967044,0.584695884061518,"Class","Rare",0.85
