"","Sum","corrcoeff","R Procrustes"
"0.01",206584,0.999905342678539,0.999999814898877
"0.05",198238,0.999612155101203,0.999999892311747
"0.1",187764,0.999050910310304,0.999999179928336
"0.15",177299,0.998273544390969,0.999999878640017
"0.2",166770,0.99748110025337,0.999999794208442
"0.25",156320,0.997017026202388,0.999999906787828
"0.3",145849,0.996206153131357,0.999999756108695
"0.35",135304,0.991114741431227,0.999999845033901
"0.4",125094,0.970646897818037,0.999999840736844
"0.45",114608,0.964603883009756,0.999999836828105
"0.5",103696,0.933576260539733,0.999999875850558
"0.55",93663,0.927452828567382,0.999999596761733
"0.6",83118,0.922974533199631,0.999997894318594
"0.65",71973,0.875425743028826,0.999998653378444
"0.7",61299,0.86686924529796,0.999991428847823
"0.75",51082,0.863643741632905,0.99952464586688
"0.8",41334,0.853723383906022,0.925199695544677
"0.85",28847,0.792344638980483,0.861345990315847
"0.9",18020,NA,NA
"0.95",0,NA,NA
"0.99",0,NA,NA
