"","Sum","corrcoeff","R Procrustes"
"0.01",196714,0.997701407827533,0.999999786141555
"0.05",196714,0.997701407827533,0.999999786141555
"0.1",184849,0.995025026034091,0.999999863261392
"0.15",176218,0.982039329394504,0.999999717134806
"0.2",164547,0.982836799604857,0.999999807491675
"0.25",155358,0.982632405979514,0.999999809111143
"0.3",145539,0.981226780965888,0.999999844477066
"0.35",135027,0.981501539609791,0.999999637736443
"0.4",124090,0.94737238921388,0.999999782418114
"0.45",113902,0.94632315681776,0.999998938049802
"0.5",104125,0.945276040784676,0.999996054030497
"0.55",93347,0.938988318429214,0.985537104321895
"0.6",82988,0.941263492145899,0.983145715117051
"0.65",72894,0.924919999331136,0.999999815741505
"0.7",62507,0.924265755277014,0.999999843057834
"0.75",52112,0.920248418656259,0.999999756948623
"0.8",41727,0.915935819453603,0.982001473428709
"0.85",31262,0.877956373914807,0.974939218067118
"0.9",20844,0.872091632771114,0.999999492842009
"0.95",10409,0.839016898567202,0.947280127769498
"0.99",2085,NA,NA
