"","Sum","corrcoeff","R Procrustes"
"0.01",90404,0.999755404554166,0.999324696369019
"0.05",86077,0.997755082894402,0.998756473267985
"0.1",81818,0.99481658692185,0.952498677912391
"0.15",75974,0.984288930883358,0.951827370532616
"0.2",71270,0.979055258467023,0.935319239925795
"0.25",66281,0.974428048731454,0.936355781818479
"0.3",63440,0.970956803774141,0.92847804137988
"0.35",58376,0.95161701044054,0.913559703757748
"0.4",52050,0.915440338814952,0.907497739906355
"0.45",43878,0.860248884242692,0.877834055663701
"0.5",43878,0.860248884242692,0.877834055663701
"0.55",33574,0.802949888089207,0.807612098486712
"0.6",33574,0.802949888089207,0.807612098486712
"0.65",17736,NA,NA
"0.7",17736,NA,NA
"0.75",17736,NA,NA
"0.8",17736,NA,NA
"0.85",0,NA,NA
"0.9",0,NA,NA
"0.95",0,NA,NA
"0.99",0,NA,NA
