"","Sum","corrcoeff","R Procrustes"
"0.01",73704,0.953754707624677,0.901639465661694
"0.05",73704,0.953754707624677,0.901639465661694
"0.1",73704,0.953754707624677,0.901639465661694
"0.15",73704,0.953754707624677,0.901639465661694
"0.2",57866,0.869875222816399,0.863306453577842
"0.25",57866,0.869875222816399,0.863306453577842
"0.3",57866,0.869875222816399,0.863306453577842
"0.35",57866,0.869875222816399,0.863306453577842
"0.4",47562,0.838828354308231,0.834108788625594
"0.45",47562,0.838828354308231,0.834108788625594
"0.5",39390,0.832730221275113,0.834890435699912
"0.55",39390,0.832730221275113,0.834890435699912
"0.6",33064,0.827925428544624,0.863383201002166
"0.65",28000,0.831597710854677,0.857083267205699
"0.7",25159,0.825687212684117,0.861846651509753
"0.75",22541,0.824058220617054,0.848634390202799
"0.8",17815,0.802339412504378,0.841073967671198
"0.85",13170,0.770746286664448,0.802412825811518
"0.9",8031,0.776807942557759,0.819658275772715
"0.95",4245,0.775576959647739,0.866779393486326
"0.99",898,NA,NA
