"","Sum","corrcoeff","R Procrustes"
"0.01",90522,0.999936329211487,0.999999586663658
"0.05",86859,0.999721859187024,0.99999953390744
"0.1",82289,0.999359941020743,0.999999625403436
"0.15",77693,0.998096521578229,0.999999580783593
"0.2",73084,0.997288883533753,0.999999591930331
"0.25",68397,0.98761835022545,0.999999478943507
"0.3",63969,0.986434822898552,0.999999586652372
"0.35",59148,0.986106251572672,0.999999557576357
"0.4",54417,0.97328672868221,0.99999964909365
"0.45",49799,0.971297101435935,0.999999662618702
"0.5",45017,0.966864896389847,0.999999631896084
"0.55",40925,0.880647928666643,0.999989816064586
"0.6",35476,0.871787365202149,0.999999707492142
"0.65",31423,0.859870969800528,0.99999945640931
"0.7",26507,0.859631495112298,0.954767440632813
"0.75",22750,0.860400512420979,0.946979860733124
"0.8",16189,0.785228666572935,0.861311588218313
"0.85",11020,NA,NA
"0.9",8190,NA,NA
"0.95",0,NA,NA
"0.99",0,NA,NA
