"","Sum","corrcoeff","R Procrustes"
"0.01",86418,0.975206714280279,0.9999995689071
"0.05",86418,0.975206714280279,0.9999995689071
"0.1",80420,0.976031945317362,0.999999480979668
"0.15",77627,0.975377798763577,0.999998106534422
"0.2",72990,0.974638398954706,0.99999931822468
"0.25",66771,0.975081369884625,0.999999547318181
"0.3",63256,0.965560530812231,0.999999592281139
"0.35",58612,0.964784986926704,0.999999081689408
"0.4",54833,0.963955725715774,0.999999465294973
"0.45",49530,0.957103409393874,0.999999506644
"0.5",45688,0.901363114506948,0.999999598339185
"0.55",40991,0.901793998139483,0.999999469666518
"0.6",36486,0.902133992255781,0.999999411721576
"0.65",31901,0.894577935179151,0.999999515731618
"0.7",27216,0.895814654596857,0.999999363892684
"0.75",22834,0.897549297184768,0.987409813355275
"0.8",18210,0.918639132313856,0.97496563903858
"0.85",13657,0.912074703549353,0.963578923452142
"0.9",9102,0.876314543379763,0.902007449078118
"0.95",4559,0.866716068854753,0.953333878903698
"0.99",914,NA,NA
