"","Sum","corrcoeff","R Procrustes"
"0.01",90515,0.999805663892351,0.998648717368264
"0.05",86776,0.999041721951939,0.995351341825294
"0.1",82146,0.997798640987495,0.992099302229557
"0.15",77157,0.995469958318256,0.992816241549283
"0.2",72256,0.993375819227213,0.993345107478217
"0.25",67526,0.99098682535215,0.980692939821156
"0.3",63264,0.985069625936499,0.951468481683669
"0.35",58260,0.981263318724619,0.944291911283869
"0.4",54469,0.97170064197928,0.937031936435775
"0.45",49934,0.963407851178749,0.768627355314399
"0.5",44396,0.946383338024205,0.71146169526184
"0.55",40802,0.946601128489673,0.697976220857189
"0.6",32636,0.945810381568896,0.736273804004316
"0.65",28255,0.924054789379867,0.75425875727146
"0.7",23313,0.928474260517604,0.919345309183667
"0.75",18354,0.909348907026926,0.690623772596504
"0.8",12851,0.656360151716189,0.632765218414199
"0.85",12851,0.656360151716189,0.632765218414199
"0.9",7088,NA,NA
"0.95",0,NA,NA
"0.99",0,NA,NA
