"","Sum","corrcoeff","R Procrustes"
"0.01",84352,0.978378432712798,0.994551066111733
"0.05",84352,0.978378432712798,0.994551066111733
"0.1",78589,0.973690911771407,0.993168738139941
"0.15",73086,0.964299116775897,0.990447119313057
"0.2",73086,0.964299116775897,0.990447119313057
"0.25",68127,0.96394060016351,0.990128709742566
"0.3",63185,0.950521356868106,0.991287494911339
"0.35",58804,0.940365619932183,0.987575134608368
"0.4",54499,0.913962714272312,0.983854459132829
"0.45",47044,0.90005428008524,0.969634911570059
"0.5",43901,0.902318381447234,0.97698081317639
"0.55",39135,0.895611354589683,0.946286579767637
"0.6",34896,0.896707008162117,0.953211099307841
"0.65",31493,0.908980338546902,0.968887113819839
"0.7",26659,0.886410545079276,0.977656960528698
"0.75",22588,0.905150576977202,0.977634100396456
"0.8",18280,0.905334861217214,0.975651894278121
"0.85",13620,0.874375108895233,0.945414047225009
"0.9",8943,0.843257877313605,0.951403111105886
"0.95",4479,0.841543054663799,0.859185440427237
"0.99",884,0.646934114334441,0.795421440051499
