"","Sum","corrcoeff","R Procrustes"
"0.01",90523,0.999795612024714,0.999794129223204
"0.05",86854,0.999075228177395,0.999773169917276
"0.1",82050,0.997902510286411,0.998913232160738
"0.15",77485,0.995426400225162,0.997586634428588
"0.2",72992,0.994783080696393,0.998051023965658
"0.25",67809,0.992591773551526,0.996546413383923
"0.3",63738,0.987307841797006,0.992431659156092
"0.35",58792,0.979581306206693,0.978215736378734
"0.4",54622,0.974190154530712,0.970110433599112
"0.45",49329,0.959269832334848,0.964856710996394
"0.5",43108,0.946520713548577,0.934417660258862
"0.55",39943,0.949754064305148,0.936087812744107
"0.6",36082,0.952414458606409,0.938479375418023
"0.65",27237,0.925656386956697,0.93690830494362
"0.7",27237,0.925656386956697,0.93690830494362
"0.75",22215,0.850377950223151,0.663833550724724
"0.8",14897,NA,NA
"0.85",0,NA,NA
"0.9",0,NA,NA
"0.95",0,NA,NA
"0.99",0,NA,NA
