"","Sum","corrcoeff","R Procrustes"
"0.01",90508,0.999695093348344,0.999747814761023
"0.05",86708,0.998207416938067,0.997278001755478
"0.1",81713,0.996729792395427,0.998584327955234
"0.15",77017,0.994836690657124,0.997128793637631
"0.2",73082,0.986754989076971,0.993719525579852
"0.25",67178,0.974930642113305,0.8515081004652
"0.3",63787,0.972568453218608,0.867222657955773
"0.35",58850,0.960315226569097,0.848158936931191
"0.4",53116,0.959095599962473,0.843364776267037
"0.45",49708,0.947204240547894,0.817323269445286
"0.5",44971,0.933503544958653,0.879606384156827
"0.55",39908,0.915302963290579,0.84403514963561
"0.6",34405,0.861495315829681,0.788732979223156
"0.65",28855,0.867452722715881,0.778595568722415
"0.7",23092,0.843288032916516,0.789392711625382
"0.75",16471,0.735304169514696,0.759249909860269
"0.8",16471,0.735304169514696,0.759249909860269
"0.85",8815,NA,NA
"0.9",8815,NA,NA
"0.95",0,NA,NA
"0.99",0,NA,NA
