"","Sum","corrcoeff","R Procrustes"
"0.01",82625,0.972846554889899,0.969374084356888
"0.05",82625,0.972846554889899,0.969374084356888
"0.1",74969,0.94740862852318,0.969311617058885
"0.15",74969,0.94740862852318,0.969311617058885
"0.2",68348,0.925810515593797,0.965298527676213
"0.25",68348,0.925810515593797,0.965298527676213
"0.3",62585,0.909864902898959,0.965371990119466
"0.35",57035,0.899364051840832,0.958914873813754
"0.4",51532,0.887154383284414,0.954206873504396
"0.45",46469,0.8926192486564,0.948412020347642
"0.5",41732,0.880540254379264,0.935478264873063
"0.55",38324,0.91355393832174,0.935020341476222
"0.6",35431,0.891748086794526,0.911406083746042
"0.65",30024,0.882054735769906,0.904758758611591
"0.7",25937,0.871858791363435,0.910826612828897
"0.75",22667,0.870907214560465,0.885999273811836
"0.8",17025,0.856693873721738,0.902019382100469
"0.85",13282,0.865918137589964,0.923176458847126
"0.9",8961,0.854035870120009,0.918256117624633
"0.95",4424,0.793198297701234,0.714016979967802
"0.99",853,0.75400498851694,0.812857808523431
