"","Sum","corrcoeff","R Procrustes"
"0.01",90213,0.999158993741037,0.999637025744134
"0.05",85354,0.995480010185892,0.997589539590189
"0.1",79923,0.991569833675097,0.995029135511733
"0.15",76335,0.97603299693083,0.991195819400532
"0.2",72668,0.970816077627223,0.984016164309838
"0.25",63357,0.927063648425878,0.966051557825253
"0.3",63357,0.927063648425878,0.966051557825253
"0.35",51366,0.844665138782786,0.908769857386438
"0.4",51366,0.844665138782786,0.908769857386438
"0.45",35412,0.769336442711056,0.765896145680516
"0.5",35412,0.769336442711056,0.765896145680516
"0.55",35412,0.769336442711056,0.765896145680516
"0.6",35412,0.769336442711056,0.765896145680516
"0.65",18296,NA,NA
"0.7",18296,NA,NA
"0.75",18296,NA,NA
"0.8",0,NA,NA
"0.85",0,NA,NA
"0.9",0,NA,NA
"0.95",0,NA,NA
"0.99",0,NA,NA
