"","Sum","corrcoeff","R Procrustes"
"0.01",90521,0.999658236500342,0.998794522912175
"0.05",86857,0.997111763365633,0.996556801051667
"0.1",81557,0.989971586720813,0.995104634136582
"0.15",77567,0.969117311996569,0.908797751709791
"0.2",72909,0.96230884698377,0.921836498913443
"0.25",66306,0.967767011110664,0.922554165070618
"0.3",62341,0.955667913098254,0.918410752634081
"0.35",57382,0.845717234262126,0.89628020503204
"0.4",51630,0.634875959953359,0.639433657451028
"0.45",43891,NA,NA
"0.5",43891,NA,NA
"0.55",0,NA,NA
"0.6",0,NA,NA
"0.65",0,NA,NA
"0.7",0,NA,NA
"0.75",0,NA,NA
"0.8",0,NA,NA
"0.85",0,NA,NA
"0.9",0,NA,NA
"0.95",0,NA,NA
"0.99",0,NA,NA
