"","Sum","corrcoeff","R.Procrustes","Rank","Type","Truncated"
"0.018",73144,0.961343867690617,0.972909305765412,"Phylum","Rare",0.01
"0.058",73144,0.961343867690617,0.972909305765412,"Phylum","Rare",0.05
"0.19",73144,0.961343867690617,0.972909305765412,"Phylum","Rare",0.1
"0.158",73144,0.961343867690617,0.972909305765412,"Phylum","Rare",0.15
"0.29",73144,0.961343867690617,0.972909305765412,"Phylum","Rare",0.2
"0.258",56028,0.933543752429201,0.815571646241327,"Phylum","Rare",0.25
"0.39",56028,0.933543752429201,0.815571646241327,"Phylum","Rare",0.3
"0.358",56028,0.933543752429201,0.815571646241327,"Phylum","Rare",0.35
"0.49",40074,0.872740005092946,0.811052190450866,"Phylum","Rare",0.4
"0.458",40074,0.872740005092946,0.811052190450866,"Phylum","Rare",0.45
"0.59",40074,0.872740005092946,0.811052190450866,"Phylum","Rare",0.5
"0.558",40074,0.872740005092946,0.811052190450866,"Phylum","Rare",0.55
"0.69",28083,0.824785895219332,0.771026281445965,"Phylum","Rare",0.6
"0.658",28083,0.824785895219332,0.771026281445965,"Phylum","Rare",0.65
"0.79",18772,0.787155053408923,0.720762978072592,"Phylum","Rare",0.7
"0.758",18772,0.787155053408923,0.720762978072592,"Phylum","Rare",0.75
"0.89",15105,0.790003082572742,0.726259263213491,"Phylum","Rare",0.8
"0.858",11517,0.792090520418694,0.785417939299862,"Phylum","Rare",0.85
"0.910",8469,0.787353043422475,0.781949025510066,"Phylum","Rare",0.9
"0.958",3731,0.692577741193225,0.633107180212478,"Phylum","Rare",0.95
"0.998",774,NA,NA,"Phylum","Rare",0.99
"0.019",73704,0.953754707624677,0.901639465661694,"Class","Rare",0.01
"0.059",73704,0.953754707624677,0.901639465661694,"Class","Rare",0.05
"0.110",73704,0.953754707624677,0.901639465661694,"Class","Rare",0.1
"0.159",73704,0.953754707624677,0.901639465661694,"Class","Rare",0.15
"0.210",57866,0.869875222816399,0.863306453577842,"Class","Rare",0.2
"0.259",57866,0.869875222816399,0.863306453577842,"Class","Rare",0.25
"0.310",57866,0.869875222816399,0.863306453577842,"Class","Rare",0.3
"0.359",57866,0.869875222816399,0.863306453577842,"Class","Rare",0.35
"0.410",47562,0.838828354308231,0.834108788625594,"Class","Rare",0.4
"0.459",47562,0.838828354308231,0.834108788625594,"Class","Rare",0.45
"0.510",39390,0.832730221275113,0.834890435699912,"Class","Rare",0.5
"0.559",39390,0.832730221275113,0.834890435699912,"Class","Rare",0.55
"0.610",33064,0.827925428544624,0.863383201002166,"Class","Rare",0.6
"0.659",28000,0.831597710854677,0.857083267205699,"Class","Rare",0.65
"0.710",25159,0.825687212684117,0.861846651509753,"Class","Rare",0.7
"0.759",22541,0.824058220617054,0.848634390202799,"Class","Rare",0.75
"0.810",17815,0.802339412504378,0.841073967671198,"Class","Rare",0.8
"0.859",13170,0.770746286664448,0.802412825811518,"Class","Rare",0.85
"0.911",8031,0.776807942557759,0.819658275772715,"Class","Rare",0.9
"0.959",4245,0.775576959647739,0.866779393486326,"Class","Rare",0.95
"0.999",898,NA,NA,"Class","Rare",0.99
"0.0110",82625,0.972846554889899,0.969374084356888,"Order","Rare",0.01
"0.0510",82625,0.972846554889899,0.969374084356888,"Order","Rare",0.05
"0.111",74969,0.94740862852318,0.969311617058885,"Order","Rare",0.1
"0.1510",74969,0.94740862852318,0.969311617058885,"Order","Rare",0.15
"0.211",68348,0.925810515593797,0.965298527676213,"Order","Rare",0.2
"0.2510",68348,0.925810515593797,0.965298527676213,"Order","Rare",0.25
"0.311",62585,0.909864902898959,0.965371990119466,"Order","Rare",0.3
"0.3510",57035,0.899364051840832,0.958914873813754,"Order","Rare",0.35
"0.411",51532,0.887154383284414,0.954206873504396,"Order","Rare",0.4
"0.4510",46469,0.8926192486564,0.948412020347642,"Order","Rare",0.45
"0.511",41732,0.880540254379264,0.935478264873063,"Order","Rare",0.5
"0.5510",38324,0.91355393832174,0.935020341476222,"Order","Rare",0.55
"0.611",35431,0.891748086794526,0.911406083746042,"Order","Rare",0.6
"0.6510",30024,0.882054735769906,0.904758758611591,"Order","Rare",0.65
"0.711",25937,0.871858791363435,0.910826612828897,"Order","Rare",0.7
"0.7510",22667,0.870907214560465,0.885999273811836,"Order","Rare",0.75
"0.811",17025,0.856693873721738,0.902019382100469,"Order","Rare",0.8
"0.8510",13282,0.865918137589964,0.923176458847126,"Order","Rare",0.85
"0.912",8961,0.854035870120009,0.918256117624633,"Order","Rare",0.9
"0.9510",4424,0.793198297701234,0.714016979967802,"Order","Rare",0.95
"0.9910",853,0.75400498851694,0.812857808523431,"Order","Rare",0.99
"0.0111",84352,0.978378432712798,0.994551066111733,"Family","Rare",0.01
"0.0511",84352,0.978378432712798,0.994551066111733,"Family","Rare",0.05
"0.112",78589,0.973690911771407,0.993168738139941,"Family","Rare",0.1
"0.1511",73086,0.964299116775897,0.990447119313057,"Family","Rare",0.15
"0.212",73086,0.964299116775897,0.990447119313057,"Family","Rare",0.2
"0.2511",68127,0.96394060016351,0.990128709742566,"Family","Rare",0.25
