Acidobacteria Actinobacteria Armatimonadetes Bacteroidetes BRC1 Chlamydiae Chloroflexi Cyanobacteria Deinococcus-Thermus Dependentiae Elusimicrobia FBP Fibrobacteres Firmicutes Gemmatimonadetes Hydrogenedentes Patescibacteria Planctomycetes Proteobacteria Verrucomicrobia WPS-2
15 744 609 126 245 0 0 0 6 126 0 0 35 0 0 0 0 103 107 533 0 555
150 191 695 8 630 0 16 205 702 12 0 2 18 6 0 284 0 25 98 1001 200 3
151 433 272 7 1218 1 51 576 704 37 5 1 34 19 0 317 0 30 255 959 404 17
152 348 663 5 669 0 3 259 649 8 0 0 14 12 0 117 0 25 128 816 135 4
153 121 144 0 466 0 0 66 105 0 0 0 12 0 0 50 0 41 30 520 519 0
154 96 480 7 500 2 15 348 980 14 5 0 16 14 0 101 0 12 121 803 105 2
155 248 599 7 742 0 7 217 1239 5 0 1 6 4 0 117 0 14 99 523 85 0
156 134 475 4 446 0 0 241 853 52 0 0 24 1 0 225 0 29 71 549 81 0
157 177 472 1 564 1 7 271 793 10 0 0 1 0 0 371 0 16 72 830 74 1
173 126 306 2 586 0 0 90 434 0 0 0 13 6 140 181 1 17 85 778 82 0
174 158 486 3 1125 5 4 233 450 0 0 0 46 27 0 113 0 19 164 738 302 1
175 80 250 704 2247 0 0 2265 1081 0 0 0 17 0 0 36 0 0 60 1854 16 949
176 212 201 963 2943 0 0 1626 747 0 0 0 7 0 0 22 0 0 23 1622 0 1757
30 108 124 1139 1448 0 0 2532 2475 0 0 0 2 0 0 0 0 0 18 1781 4 282
31 132 346 2 785 0 0 49 1661 2 0 0 16 6 0 333 0 37 231 1185 198 1
68 0 2830 0 2047 0 0 0 70 0 0 0 0 0 11 9 0 220 0 1341 0 0
69 195 2857 47 150 0 0 0 18 60 0 0 0 0 0 0 0 200 17 740 0 0
7 164 182 23 1485 0 35 333 2987 127 0 0 76 29 0 107 0 17 120 543 150 16
