Phylum Class Order Family Genus Species OTUs_completeDS OTUs_wholeDS
0.01 73144 73704 82625 84352 76543 47549 86418 196714
0.05 73144 73704 82625 84352 76543 47549 86418 196714
0.1 73144 73704 74969 78589 76543 47549 80420 184849
0.15 73144 73704 74969 73086 76543 47549 77627 176218
0.2 73144 57866 68348 73086 69225 47549 72990 164547
0.25 56028 57866 68348 68127 64203 47549 66771 155358
0.3 56028 57866 62585 63185 59403 47549 63256 145539
0.35 56028 57866 57035 58804 59403 47549 58612 135027
0.4 40074 47562 51532 54499 51497 47549 54833 124090
0.45 40074 47562 46469 47044 48332 47549 49530 113902
0.5 40074 39390 41732 43901 45189 39810 45688 104125
0.55 40074 39390 38324 39135 39215 39810 40991 93347
0.6 28083 33064 35431 34896 34714 34058 36486 82988
0.65 28083 28000 30024 31493 30896 29099 31901 72894
0.7 18772 25159 25937 26659 26290 25134 27216 62507
0.75 18772 22541 22667 22588 22493 21381 22834 52112
0.8 15105 17815 17025 18280 17540 16134 18210 41727
0.85 11517 13170 13282 13620 13311 12343 13657 31262
0.9 8469 8031 8961 8943 9102 9024 9102 20844
0.95 3731 4245 4424 4479 4459 4385 4559 10409
0.99 774 898 853 884 891 885 914 2085
