	SiO2	PO4	NH4	BCC
HS122	1.835056102	0.886490725	1.387389826	0.531478917
HS123	1.785329835	1.021189299	1.752048448	0.361727836
HS124	1.859738566	0.748188027	1.69019608	0.278753601
HS125	1.828659897	0.832508913	1.365487985	0.477121255
HS126	2.158663981	0.897627091	1.782472624	0.380211242
HS127	2.234770295	0.919078092	1.797959644	0.204119983
HS129	1.204119983	1.075546961	1.586587305	0.591064607
HS130	1.346352974	0.919078092	1.748188027	0.477121255
HS132	1.029383778	0.84509804	1.514547753	0.51851394
HS133	1.276461804	0.612783857	1.837588438	0.431363764
HS134	1.56937391	0.568201724	1.354108439	0.431363764
HS135	1.691965103	0.633468456	1.539076099	0.255272505
HS136	1.751279104	0.556302501	1.631443769	0.204119983
HS137	0.963787827	0.602059991	1.068185862	0.491361694
HS138	1.42975228	0.792391689	1.678518379	0.380211242
HS139	1.545307116	0.707570176	1.599883072	0.176091259
