"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"bafeaea7d2a826a8764c593eef31257f","Bacteria","Actinobacteria","Actinobacteria","Frankiales","uncultured",NA,NA
"c2922fa1446e9e4b05ba3c592bd6aa09","Bacteria","Actinobacteria","Actinobacteria","Frankiales","uncultured",NA,NA
"b1683458fb6e70122e87e79d963c8ca5","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter nonamiensis YM16-303"
"68f64993f197079ed05f0a7ecf2734e6","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Desmochloris halophila","Desmochloris halophila","Desmochloris halophila"
"241adf829d0a6ffe7a255158e4406f26","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovarius","uncultured bacterium"
"c61e2fe9083cecd24a90e58723c6cebf","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
"63ff3b6b77f12162f96098e03b82c01e","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"cb4dbaba68475490eeb9dddffb7c3bd7","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"2ffd3b4a52e42f9925116808c4f3af90","Bacteria","FBP","uncultured Carnobacterium sp.","uncultured Carnobacterium sp.","uncultured Carnobacterium sp.","uncultured Carnobacterium sp.","uncultured Carnobacterium sp."
"8c8a49cf15858ee3291c2ac9bf75c9cf","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","uncultured Bacteroidetes bacterium"
"3ec32d3fb54c970d4572154ac66f0f44","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Zavarzinella","uncultured Zavarzinella sp."
"c4b4873d01c20cfd66d717b4427b914e","Bacteria","Actinobacteria","Actinobacteria","Frankiales","uncultured",NA,NA
"0fe603c51e3effa40c978b4cdbfd3757","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Flexibacter","uncultured Flexibacter sp."
