name,degree,betweenness,closeness,eigenvector,category,Kingdom,Phylum,Class,Order,Family,Genus,Species
4fa8c39cf6faddad244924cc257a4afd,43,0,0.000203661,3.36E-06,intermediate,Bacteria,NA,NA,NA,NA,NA,NA
bec1c2d15aea5486ced6549ac50c80c7,7,2645,0.000168076,0.000380604,intermediate,Bacteria,NA,NA,NA,NA,NA,NA
23a1fcd343d5c50c77a039af50737bf1,11,65,0.000190001,0.006705448,rare,Bacteria,NA,NA,NA,NA,NA,NA
ceead6e519d90a823fee4b806c9f01b4,39,3954,0.000149088,6.74E-08,rare,Bacteria,NA,NA,NA,NA,NA,NA
b8a3624a60d9bd1844a4738dece3946e,31,69,0.000132258,9.31E-08,intermediate,Bacteria,NA,NA,NA,NA,NA,NA
638991b64c1810e581389a621fad6070,93,178.625,0.00021471,0.005445104,intermediate,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
2448e078811a3ef81b263c8617ce7c80,10,1426,0.00013971,6.24E-09,abundant,Bacteria,NA,NA,NA,NA,NA,NA
e75d69a6090242a6d0959786ef33d6dd,80,42,0.000153357,4.81E-07,intermediate,Bacteria,NA,NA,NA,NA,NA,NA
820d73a7ed559fabfda1b1e0da5dff98,80,16.25,0.000153362,4.81E-07,rare,Bacteria,NA,NA,NA,NA,NA,NA
243578db7226e04869f6792160c61057,133,3149,0.000226794,0.601104317,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Berkeleya fennica,Berkeleya fennica
ed14b963357da12ef7b917ccad876948,116,31,0.000180114,0.00186482,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Berkeleya fennica,Berkeleya fennica
c5c071a30e7cbf55f348228657616193,78,9691,0.000214168,0.006329032,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,uncultured bacterium
52caf37bb1be39a07e136570e2d00cff,21,56,0.000197099,0.009475283,intermediate,Bacteria,NA,NA,NA,NA,NA,NA
43ad2e043d057de625e1fbd39d317558,93,644.2857143,0.000214718,0.005444162,intermediate,Bacteria,NA,NA,NA,NA,NA,NA
619e7cee18dbc107b864b9d6e12f5aa8,100,32,0.00015512,7.21E-07,intermediate,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
af05dfb55af6c9229ff1737b69ac2288,54,23,0.00015279,3.84E-07,rare,Bacteria,NA,NA,NA,NA,NA,NA
0075e2d56eb30004e2d236fee31ea2c2,93,186.2,0.00021469,0.005449264,rare,Bacteria,NA,NA,NA,NA,NA,NA
3c7909ffa71932ca013af247908fc65d,67,48,0.000152842,5.91E-07,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
640eed3afdd59b3a157963a5b0554a49,114,541,0.00015185,7.63E-07,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
0c1cd57097ea3272a109f2937a64bd45,96,66,0.000147698,3.51E-07,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
2891f91df92a140cf017667a9b23118e,49,88.33333333,0.000134524,9.09E-08,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
8d05b56c1b2655104926634c49245dc0,47,2,0.000134171,1.04E-07,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Rhynchosporium agropyri,Rhynchosporium agropyri
bf6043743d10b9453e80c478cb8fd2cd,52,28,0.000134386,1.18E-07,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
40c9a25a41beebf7e0378a3cb5308d54,143,1609,0.000137812,5.70E-07,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
6bc38d7140c53d94bc6cfeaf354a2f22,107,586,0.000150867,4.20E-07,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
cd78c7df99afe3f94510bfd2670317d4,63,193,0.000144737,2.41E-07,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
ca10cec94244f9be150473061c626a5c,124,527,0.000145122,4.67E-07,intermediate,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
