Kingdom,Phylum,Class,Order,Family,Genus,Species
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Berkeleya fennica,Berkeleya fennica
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Berkeleya fennica,Berkeleya fennica
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,uncultured bacterium
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Rhynchosporium agropyri,Rhynchosporium agropyri
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Cairneyella variabilis,Cairneyella variabilis
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Pythium insidiosum,Pythium insidiosum
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Pythium insidiosum,Pythium insidiosum
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Pythium insidiosum,Pythium insidiosum
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,uncultured bacterium
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,uncultured bacterium,uncultured bacterium
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,wastewater metagenome,wastewater metagenome,wastewater metagenome
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured Candidatus Saccharibacteria bacterium,uncultured Candidatus Saccharibacteria bacterium,uncultured Candidatus Saccharibacteria bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured organism,uncultured organism,uncultured organism
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured Candidatus Saccharibacteria bacterium,uncultured Candidatus Saccharibacteria bacterium,uncultured Candidatus Saccharibacteria bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,bacterium LWQ8,bacterium LWQ8,bacterium LWQ8
