Source,Target,Type,Id,Label,timeset,Weight
62,0,Undirected,0,,,0.752468
78,0,Undirected,1,,,0.690529
152,0,Undirected,2,,,0.768085
158,0,Undirected,3,,,0.768085
180,0,Undirected,4,,,0.660155
186,0,Undirected,5,,,0.641223
283,0,Undirected,6,,,0.63703
307,0,Undirected,7,,,0.628886
401,0,Undirected,8,,,0.647811
453,0,Undirected,9,,,0.653629
498,0,Undirected,10,,,0.611421
516,0,Undirected,11,,,0.680741
620,0,Undirected,12,,,0.62862
626,0,Undirected,13,,,0.653125
655,0,Undirected,14,,,0.767873
657,0,Undirected,15,,,0.670054
913,0,Undirected,16,,,0.628212
925,0,Undirected,17,,,0.759267
930,0,Undirected,18,,,0.78827
965,0,Undirected,19,,,0.646801
988,0,Undirected,20,,,0.64389
1002,0,Undirected,21,,,0.653799
1070,0,Undirected,22,,,0.670906
1084,0,Undirected,23,,,0.610506
1098,0,Undirected,24,,,0.647065
1106,0,Undirected,25,,,0.678188
1112,0,Undirected,26,,,0.643548
1164,0,Undirected,27,,,0.635234
1173,0,Undirected,28,,,0.609448
1177,0,Undirected,29,,,0.672652
1182,0,Undirected,30,,,0.623951
1233,0,Undirected,31,,,0.672652
1293,0,Undirected,32,,,0.625679
1298,0,Undirected,33,,,0.647065
1300,0,Undirected,34,,,0.672727
1327,0,Undirected,35,,,0.759055
1469,0,Undirected,36,,,0.644564
1639,0,Undirected,37,,,0.672652
1645,0,Undirected,38,,,0.64781
1745,0,Undirected,39,,,0.725765
1806,0,Undirected,40,,,0.678645
1837,0,Undirected,41,,,0.60531
1892,0,Undirected,42,,,0.659859
139,1,Undirected,43,,,0.647065
1251,1,Undirected,44,,,0.634721
1252,1,Undirected,45,,,0.647138
1319,1,Undirected,46,,,0.64123
1733,1,Undirected,47,,,0.622377
1933,1,Undirected,48,,,0.647065
1969,1,Undirected,49,,,0.634721
12,2,Undirected,50,,,0.745091
79,2,Undirected,51,,,0.619929
120,2,Undirected,52,,,0.739194
384,2,Undirected,53,,,0.730944
505,2,Undirected,54,,,0.616773
506,2,Undirected,55,,,0.739538
739,2,Undirected,56,,,0.725885
933,2,Undirected,57,,,0.728824
1294,2,Undirected,58,,,0.672196
1511,2,Undirected,59,,,0.665193
1747,2,Undirected,60,,,0.640593
20,3,Undirected,61,,,0.622377
26,3,Undirected,62,,,0.707331
31,3,Undirected,63,,,0.840682
140,3,Undirected,64,,,0.62862
149,3,Undirected,65,,,0.77928
299,3,Undirected,66,,,0.65412
312,3,Undirected,67,,,0.622377
313,3,Undirected,68,,,0.622377
326,3,Undirected,69,,,0.640965
350,3,Undirected,70,,,0.647065
399,3,Undirected,71,,,0.666595
401,3,Undirected,72,,,0.660494
412,3,Undirected,73,,,0.635006
537,3,Undirected,74,,,0.647065
539,3,Undirected,75,,,0.647138
540,3,Undirected,76,,,0.634721
541,3,Undirected,77,,,0.622377
681,3,Undirected,78,,,0.84556
948,3,Undirected,79,,,0.78827
1021,3,Undirected,80,,,0.623664
1080,3,Undirected,81,,,0.634721
1082,3,Undirected,82,,,0.634721
1128,3,Undirected,83,,,0.647065
1134,3,Undirected,84,,,0.634721
1178,3,Undirected,85,,,0.634721
1206,3,Undirected,86,,,0.647065
1278,3,Undirected,87,,,0.647065
1639,3,Undirected,88,,,0.64123
1640,3,Undirected,89,,,0.622447
1648,3,Undirected,90,,,0.634721
1654,3,Undirected,91,,,0.647065
1655,3,Undirected,92,,,0.647065
1752,3,Undirected,93,,,0.640965
1826,3,Undirected,94,,,0.647065
1899,3,Undirected,95,,,0.634721
1908,3,Undirected,96,,,0.634721
1919,3,Undirected,97,,,0.679436
1920,3,Undirected,98,,,0.622377
1922,3,Undirected,99,,,0.647065
7,4,Undirected,100,,,0.640332
8,4,Undirected,101,,,0.653799
32,4,Undirected,102,,,0.653535
50,4,Undirected,103,,,0.672727
58,4,Undirected,104,,,0.634343
59,4,Undirected,105,,,0.641293
70,4,Undirected,106,,,0.640332
75,4,Undirected,107,,,0.653799
89,4,Undirected,108,,,0.65307
122,4,Undirected,109,,,0.640332
123,4,Undirected,110,,,0.6568
124,4,Undirected,111,,,0.62862
252,4,Undirected,112,,,0.653125
358,4,Undirected,113,,,0.640332
365,4,Undirected,114,,,0.634343
373,4,Undirected,115,,,0.653125
519,4,Undirected,116,,,0.653799
531,4,Undirected,117,,,0.634343
533,4,Undirected,118,,,0.647811
562,4,Undirected,119,,,0.62862
585,4,Undirected,120,,,0.640332
652,4,Undirected,121,,,0.628212
772,4,Undirected,122,,,0.653125
1105,4,Undirected,123,,,0.628212
1435,4,Undirected,124,,,0.609134
1634,4,Undirected,125,,,0.653125
1750,4,Undirected,126,,,0.640332
1769,4,Undirected,127,,,0.653799
1772,4,Undirected,128,,,0.62862
1793,4,Undirected,129,,,0.653799
1909,4,Undirected,130,,,0.758524
37,5,Undirected,131,,,0.647217
38,5,Undirected,132,,,0.757482
46,5,Undirected,133,,,0.774603
52,5,Undirected,134,,,0.659336
53,5,Undirected,135,,,0.672801
176,5,Undirected,136,,,0.670207
190,5,Undirected,137,,,0.783633
209,5,Undirected,138,,,0.788535
213,5,Undirected,139,,,0.619852
217,5,Undirected,140,,,0.677994
219,5,Undirected,141,,,0.628212
228,5,Undirected,142,,,0.726705
232,5,Undirected,143,,,0.64123
237,5,Undirected,144,,,0.657379
242,5,Undirected,145,,,0.660888
432,5,Undirected,146,,,0.747108
456,5,Undirected,147,,,0.647065
489,5,Undirected,148,,,0.774603
513,5,Undirected,149,,,0.666227
526,5,Undirected,150,,,0.661738
550,5,Undirected,151,,,0.646768
602,5,Undirected,152,,,0.676464
627,5,Undirected,153,,,0.726259
687,5,Undirected,154,,,0.652773
689,5,Undirected,155,,,0.618066
694,5,Undirected,156,,,0.753003
695,5,Undirected,157,,,0.779329
700,5,Undirected,158,,,0.641211
719,5,Undirected,159,,,0.632777
737,5,Undirected,160,,,0.749816
738,5,Undirected,161,,,0.779329
770,5,Undirected,162,,,0.653488
774,5,Undirected,163,,,0.622377
778,5,Undirected,164,,,0.622377
790,5,Undirected,165,,,0.72905
792,5,Undirected,166,,,0.633441
795,5,Undirected,167,,,0.64632
827,5,Undirected,168,,,0.625752
840,5,Undirected,169,,,0.700075
868,5,Undirected,170,,,0.622083
937,5,Undirected,171,,,0.717691
938,5,Undirected,172,,,0.726499
940,5,Undirected,173,,,0.60903
943,5,Undirected,174,,,0.659336
946,5,Undirected,175,,,0.661803
949,5,Undirected,176,,,0.645037
958,5,Undirected,177,,,0.619735
970,5,Undirected,178,,,0.640978
972,5,Undirected,179,,,0.678874
1004,5,Undirected,180,,,0.788535
1016,5,Undirected,181,,,0.640402
1027,5,Undirected,182,,,0.717365
1037,5,Undirected,183,,,0.613518
1044,5,Undirected,184,,,0.648115
1051,5,Undirected,185,,,0.666024
1068,5,Undirected,186,,,0.616225
1075,5,Undirected,187,,,0.672801
1089,5,Undirected,188,,,0.839829
1123,5,Undirected,189,,,0.61988
1147,5,Undirected,190,,,0.643638
1215,5,Undirected,191,,,0.661254
1271,5,Undirected,192,,,0.644617
1273,5,Undirected,193,,,0.628886
1367,5,Undirected,194,,,0.646768
1378,5,Undirected,195,,,0.708478
1381,5,Undirected,196,,,0.840882
1389,5,Undirected,197,,,0.767521
1428,5,Undirected,198,,,0.748222
1441,5,Undirected,199,,,0.622531
1455,5,Undirected,200,,,0.660233
1488,5,Undirected,201,,,0.60114
1495,5,Undirected,202,,,0.634201
1515,5,Undirected,203,,,0.777205
1517,5,Undirected,204,,,0.72552
1522,5,Undirected,205,,,0.643312
1554,5,Undirected,206,,,0.728342
1563,5,Undirected,207,,,0.660233
1579,5,Undirected,208,,,0.61326
1595,5,Undirected,209,,,0.657216
1608,5,Undirected,210,,,0.757588
1661,5,Undirected,211,,,0.728342
1673,5,Undirected,212,,,0.767999
1686,5,Undirected,213,,,0.679523
1759,5,Undirected,214,,,0.609371
1778,5,Undirected,215,,,0.619864
1798,5,Undirected,216,,,0.788822
1814,5,Undirected,217,,,0.635099
1832,5,Undirected,218,,,0.788889
1833,5,Undirected,219,,,0.641295
1836,5,Undirected,220,,,0.697139
1855,5,Undirected,221,,,0.787882
1863,5,Undirected,222,,,0.609192
1948,5,Undirected,223,,,0.647217
72,6,Undirected,224,,,0.815969
142,6,Undirected,225,,,0.75462
192,6,Undirected,226,,,0.813689
454,6,Undirected,227,,,0.822384
589,6,Undirected,228,,,0.749829
1107,6,Undirected,229,,,0.646905
1117,6,Undirected,230,,,0.728917
1172,6,Undirected,231,,,0.615689
1313,6,Undirected,232,,,0.762745
1801,6,Undirected,233,,,0.726582
15,7,Undirected,234,,,0.653799
18,7,Undirected,235,,,0.74817
27,7,Undirected,236,,,0.67679
44,7,Undirected,237,,,0.660233
48,7,Undirected,238,,,0.716429
49,7,Undirected,239,,,0.632233
61,7,Undirected,240,,,0.607179
73,7,Undirected,241,,,0.671694
76,7,Undirected,242,,,0.772833
77,7,Undirected,243,,,0.697465
78,7,Undirected,244,,,0.680175
89,7,Undirected,245,,,0.627694
112,7,Undirected,246,,,0.846643
123,7,Undirected,247,,,0.667982
135,7,Undirected,248,,,0.787705
153,7,Undirected,249,,,0.845073
301,7,Undirected,250,,,0.697465
324,7,Undirected,251,,,0.647217
327,7,Undirected,252,,,0.659336
358,7,Undirected,253,,,0.648115
361,7,Undirected,254,,,0.68001
365,7,Undirected,255,,,0.641679
373,7,Undirected,256,,,0.660233
374,7,Undirected,257,,,0.646768
376,7,Undirected,258,,,0.678264
404,7,Undirected,259,,,0.634201
441,7,Undirected,260,,,0.749442
444,7,Undirected,261,,,0.773895
445,7,Undirected,262,,,0.759147
453,7,Undirected,263,,,0.617424
455,7,Undirected,264,,,0.64123
498,7,Undirected,265,,,0.661803
515,7,Undirected,266,,,0.840882
531,7,Undirected,267,,,0.641679
571,7,Undirected,268,,,0.840509
585,7,Undirected,269,,,0.648115
638,7,Undirected,270,,,0.666592
647,7,Undirected,271,,,0.666715
648,7,Undirected,272,,,0.628948
652,7,Undirected,273,,,0.635099
656,7,Undirected,274,,,0.782925
676,7,Undirected,275,,,0.659336
897,7,Undirected,276,,,0.647065
964,7,Undirected,277,,,0.647217
979,7,Undirected,278,,,0.787827
988,7,Undirected,279,,,0.634367
1008,7,Undirected,280,,,0.611217
1071,7,Undirected,281,,,0.841006
1084,7,Undirected,282,,,0.636806
1163,7,Undirected,283,,,0.840882
1179,7,Undirected,284,,,0.653254
1299,7,Undirected,285,,,0.840614
1316,7,Undirected,286,,,0.72905
1343,7,Undirected,287,,,0.616801
1402,7,Undirected,288,,,0.666592
1403,7,Undirected,289,,,0.647065
1415,7,Undirected,290,,,0.672915
1419,7,Undirected,291,,,0.68148
1435,7,Undirected,292,,,0.645342
1461,7,Undirected,293,,,0.773718
1469,7,Undirected,294,,,0.725727
1625,7,Undirected,295,,,0.62434
1635,7,Undirected,296,,,0.681684
1636,7,Undirected,297,,,0.611809
1638,7,Undirected,298,,,0.699423
1645,7,Undirected,299,,,0.613518
1745,7,Undirected,300,,,0.643638
1750,7,Undirected,301,,,0.648115
1753,7,Undirected,302,,,0.644291
1765,7,Undirected,303,,,0.841006
1793,7,Undirected,304,,,0.659336
1806,7,Undirected,305,,,0.601445
1808,7,Undirected,306,,,0.788767
1827,7,Undirected,307,,,0.772833
1828,7,Undirected,308,,,0.640557
1837,7,Undirected,309,,,0.670103
1860,7,Undirected,310,,,0.717365
1909,7,Undirected,311,,,0.767645
1921,7,Undirected,312,,,0.611821
15,8,Undirected,313,,,0.628886
18,8,Undirected,314,,,0.747462
27,8,Undirected,315,,,0.67467
44,8,Undirected,316,,,0.635099
48,8,Undirected,317,,,0.716755
49,8,Undirected,318,,,0.632953
61,8,Undirected,319,,,0.609195
73,8,Undirected,320,,,0.671694
76,8,Undirected,321,,,0.774426
77,8,Undirected,322,,,0.698444
78,8,Undirected,323,,,0.681807
89,8,Undirected,324,,,0.627694
112,8,Undirected,325,,,0.845858
123,8,Undirected,326,,,0.666187
135,8,Undirected,327,,,0.788767
153,8,Undirected,328,,,0.846643
301,8,Undirected,329,,,0.698444
324,8,Undirected,330,,,0.622531
327,8,Undirected,331,,,0.634201
358,8,Undirected,332,,,0.659336
361,8,Undirected,333,,,0.681642
365,8,Undirected,334,,,0.653125
373,8,Undirected,335,,,0.672352
374,8,Undirected,336,,,0.660233
376,8,Undirected,337,,,0.679179
404,8,Undirected,338,,,0.648115
441,8,Undirected,339,,,0.748733
444,8,Undirected,340,,,0.773895
445,8,Undirected,341,,,0.759147
453,8,Undirected,342,,,0.620473
455,8,Undirected,343,,,0.652901
498,8,Undirected,344,,,0.662413
515,8,Undirected,345,,,0.840293
531,8,Undirected,346,,,0.653125
571,8,Undirected,347,,,0.840509
585,8,Undirected,348,,,0.659336
638,8,Undirected,349,,,0.64123
647,8,Undirected,350,,,0.665343
648,8,Undirected,351,,,0.629379
652,8,Undirected,352,,,0.646768
656,8,Undirected,353,,,0.784164
676,8,Undirected,354,,,0.634201
897,8,Undirected,355,,,0.622377
964,8,Undirected,356,,,0.659336
979,8,Undirected,357,,,0.787827
988,8,Undirected,358,,,0.636806
1008,8,Undirected,359,,,0.612224
1071,8,Undirected,360,,,0.839829
1084,8,Undirected,361,,,0.636501
1163,8,Undirected,362,,,0.840293
1179,8,Undirected,363,,,0.653906
1299,8,Undirected,364,,,0.839437
1316,8,Undirected,365,,,0.727988
1343,8,Undirected,366,,,0.616801
1402,8,Undirected,367,,,0.64123
1403,8,Undirected,368,,,0.622377
1415,8,Undirected,369,,,0.671447
1419,8,Undirected,370,,,0.680175
1435,8,Undirected,371,,,0.643817
1461,8,Undirected,372,,,0.774249
1469,8,Undirected,373,,,0.726216
1625,8,Undirected,374,,,0.623578
1635,8,Undirected,375,,,0.6794
1636,8,Undirected,376,,,0.609676
1638,8,Undirected,377,,,0.698444
1645,8,Undirected,378,,,0.61489
1745,8,Undirected,379,,,0.644617
1750,8,Undirected,380,,,0.659336
1753,8,Undirected,381,,,0.643312
1765,8,Undirected,382,,,0.839829
1793,8,Undirected,383,,,0.672801
1806,8,Undirected,384,,,0.601445
1808,8,Undirected,385,,,0.788236
1827,8,Undirected,386,,,0.772833
1828,8,Undirected,387,,,0.654248
1837,8,Undirected,388,,,0.670865
1860,8,Undirected,389,,,0.717691
1909,8,Undirected,390,,,0.769415
1921,8,Undirected,391,,,0.613692
42,9,Undirected,392,,,0.627824
119,9,Undirected,393,,,0.606776
141,9,Undirected,394,,,0.724178
216,9,Undirected,395,,,0.682006
218,9,Undirected,396,,,0.617582
223,9,Undirected,397,,,0.743797
224,9,Undirected,398,,,0.657366
245,9,Undirected,399,,,0.650925
259,9,Undirected,400,,,0.643484
260,9,Undirected,401,,,0.656966
261,9,Undirected,402,,,0.640031
295,9,Undirected,403,,,0.785202
419,9,Undirected,404,,,0.675845
473,9,Undirected,405,,,0.690504
481,9,Undirected,406,,,0.635379
506,9,Undirected,407,,,0.618731
520,9,Undirected,408,,,0.633932
529,9,Undirected,409,,,0.653033
584,9,Undirected,410,,,0.671769
684,9,Undirected,411,,,0.715617
699,9,Undirected,412,,,0.755555
711,9,Undirected,413,,,0.634899
760,9,Undirected,414,,,0.77874
764,9,Undirected,415,,,0.645688
794,9,Undirected,416,,,0.623099
800,9,Undirected,417,,,0.622807
802,9,Undirected,418,,,0.73593
807,9,Undirected,419,,,0.68423
829,9,Undirected,420,,,0.613262
830,9,Undirected,421,,,0.650519
835,9,Undirected,422,,,0.692003
842,9,Undirected,423,,,0.623538
843,9,Undirected,424,,,0.627392
850,9,Undirected,425,,,0.63493
870,9,Undirected,426,,,0.68633
877,9,Undirected,427,,,0.610218
878,9,Undirected,428,,,0.791704
879,9,Undirected,429,,,0.608735
882,9,Undirected,430,,,0.632015
883,9,Undirected,431,,,0.805181
884,9,Undirected,432,,,0.610164
889,9,Undirected,433,,,0.748116
926,9,Undirected,434,,,0.662028
932,9,Undirected,435,,,0.715338
935,9,Undirected,436,,,0.64437
936,9,Undirected,437,,,0.796265
954,9,Undirected,438,,,0.700558
955,9,Undirected,439,,,0.6226
996,9,Undirected,440,,,0.812637
1010,9,Undirected,441,,,0.63368
1013,9,Undirected,442,,,0.616219
1036,9,Undirected,443,,,0.661897
1038,9,Undirected,444,,,0.620602
1052,9,Undirected,445,,,0.609707
1064,9,Undirected,446,,,0.750416
1065,9,Undirected,447,,,0.648598
1073,9,Undirected,448,,,0.680086
1092,9,Undirected,449,,,0.637662
1094,9,Undirected,450,,,0.695881
1095,9,Undirected,451,,,0.702682
1099,9,Undirected,452,,,0.600249
1102,9,Undirected,453,,,0.640386
1103,9,Undirected,454,,,0.700024
1115,9,Undirected,455,,,0.648565
1118,9,Undirected,456,,,0.605755
1140,9,Undirected,457,,,0.787218
1141,9,Undirected,458,,,0.63519
1150,9,Undirected,459,,,0.670842
1157,9,Undirected,460,,,0.65549
1158,9,Undirected,461,,,0.606596
1161,9,Undirected,462,,,0.681458
1196,9,Undirected,463,,,0.615124
1198,9,Undirected,464,,,0.701259
1232,9,Undirected,465,,,0.60858
1243,9,Undirected,466,,,0.615633
1262,9,Undirected,467,,,0.750111
1270,9,Undirected,468,,,0.714585
1275,9,Undirected,469,,,0.600798
1277,9,Undirected,470,,,0.742079
1280,9,Undirected,471,,,0.715283
1286,9,Undirected,472,,,0.709892
1288,9,Undirected,473,,,0.704331
1294,9,Undirected,474,,,0.678116
1347,9,Undirected,475,,,0.744311
1360,9,Undirected,476,,,0.611954
1364,9,Undirected,477,,,0.640894
1385,9,Undirected,478,,,0.686731
1394,9,Undirected,479,,,0.604001
1404,9,Undirected,480,,,0.68771
1409,9,Undirected,481,,,0.648399
1410,9,Undirected,482,,,0.614157
1411,9,Undirected,483,,,0.626478
1412,9,Undirected,484,,,0.737144
1426,9,Undirected,485,,,0.745683
1427,9,Undirected,486,,,0.773265
1431,9,Undirected,487,,,0.742233
1432,9,Undirected,488,,,0.677363
1434,9,Undirected,489,,,0.640773
1440,9,Undirected,490,,,0.709769
1442,9,Undirected,491,,,0.666459
1444,9,Undirected,492,,,0.667996
1464,9,Undirected,493,,,0.729741
1476,9,Undirected,494,,,0.707892
1511,9,Undirected,495,,,0.603333
1544,9,Undirected,496,,,0.746761
1549,9,Undirected,497,,,0.695717
