"Site1" "Site2" "RCb"
"1" "0" "1" 2
"2" "0" "10" 2
"3" "0" "11" 2
"4" "0" "12" 2
"5" "0" "14" 2
"6" "0" "15" 2
"7" "0" "150" 2
"8" "0" "151" 2
"9" "0" "152" 2
"10" "0" "153" 2
"11" "0" "154" 2
"12" "0" "155" 2
"13" "0" "156" 2
"14" "0" "157" 2
"15" "0" "158" 2
"16" "0" "159" 2
"17" "0" "16" 2
"18" "0" "160" 2
"19" "0" "161" 2
"20" "0" "162" 2
"21" "0" "163" 2
"22" "0" "166" 2
"23" "0" "168" 2
"24" "0" "17" 2
"25" "0" "172" 2
"26" "0" "173" 2
"27" "0" "174" 2
"28" "0" "175" 2
"29" "0" "176" 2
"30" "0" "177" 2
"31" "0" "178" 2
"32" "0" "179" 2
"33" "0" "18" 2
"34" "0" "2" 2
"35" "0" "22" 2
"36" "0" "23" 2
"37" "0" "24" 2
"38" "0" "25" 2
"39" "0" "26" 2
"40" "0" "28" 2
"41" "0" "29" 2
"42" "0" "3" 2
"43" "0" "30" 2
"44" "0" "31" 2
"45" "0" "32" 2
"46" "0" "33" 2
"47" "0" "34" 2
"48" "0" "35" 2
"49" "0" "36" 2
"50" "0" "37" 2
"51" "0" "38" 2
"52" "0" "4" 2
"53" "0" "41" 2
"54" "0" "43" 2
"55" "0" "44" 2
"56" "0" "45" 2
"57" "0" "46" 2
"58" "0" "466" 2
"59" "0" "467" 2
"60" "0" "468" 2
"61" "0" "469" 2
"62" "0" "472" 2
"63" "0" "473" 2
"64" "0" "474" 2
"65" "0" "5" 2
"66" "0" "6" 2
"67" "0" "60" 2
"68" "0" "62" 2
"69" "0" "64" 2
"70" "0" "66" 2
"71" "0" "67" 2
"72" "0" "68" 2
"73" "0" "69" 2
"74" "0" "7" 2
"75" "0" "70" 2
"76" "1" "10" 2
"77" "1" "11" 2
"78" "1" "12" 2
"79" "1" "14" 2
"80" "1" "15" 2
"81" "1" "150" 2
"82" "1" "151" 2
"83" "1" "152" 2
"84" "1" "153" 2
"85" "1" "154" 2
"86" "1" "155" 2
"87" "1" "156" 2
"88" "1" "157" 2
"89" "1" "158" 2
"90" "1" "159" 2
"91" "1" "16" 2
"92" "1" "160" 2
"93" "1" "161" 2
"94" "1" "162" 2
"95" "1" "163" 2
"96" "1" "166" 2
"97" "1" "168" 2
"98" "1" "17" 2
"99" "1" "172" 2
"100" "1" "173" 2
