"class.index" "n.dist" "Mantel.cor" "Pr.Mantel." "Pr.corrected." "property" "sig"
"D.cl.1" 0.0646063901904761 3576 0.00172101048249963 0.27 0.27 "Cond" "non-significant"
"D.cl.2" 0.193819170571429 19354 -0.00145361478850053 0.401 0.54 "Cond" "non-significant"
"D.cl.3" 0.323031950952381 111973 0.00263961145487465 0.451 0.81 "Cond" "non-significant"
"D.cl.4" 0.452244731333333 167084 -0.00318787491866437 0.387 1 "Cond" "non-significant"
"D.cl.5" 0.581457511714286 182120 0.00832099737207022 0.216 1 "Cond" "non-significant"
"D.cl.6" 0.710670292095238 154560 -0.00137878188376846 0.425 1 "Cond" "non-significant"
"D.cl.7" 0.83988307247619 111989 0.00240596416246393 0.413 1 "Cond" "non-significant"
"D.cl.8" 0.969095852857143 76824 0.0019916737207187 0.442 1 "Cond" "non-significant"
"D.cl.9" 1.0983086332381 49426 -0.00577131118637208 0.275 1 "Cond" "non-significant"
"D.cl.10" 1.22752141361905 26045 -0.00032180279652127 0.476 1 "Cond" "non-significant"
"D.cl.110" 0.0646063901904761 3576 0.00402367508212184 0.03 0.03 "pH" "significant"
"D.cl.22" 0.193819170571429 19354 0.0034528878621515 0.24 0.24 "pH" "non-significant"
"D.cl.31" 0.323031950952381 111973 0.00598401015896714 0.283 0.48 "pH" "non-significant"
"D.cl.41" 0.452244731333333 167084 0.0101632896240792 0.136 0.408 "pH" "non-significant"
"D.cl.51" 0.581457511714286 182120 0.0160917841857427 0.012 0.06 "pH" "non-significant"
"D.cl.61" 0.710670292095238 154560 0.00748808427712705 0.145 0.544 "pH" "non-significant"
"D.cl.71" 0.83988307247619 111989 -0.00592914722853132 0.194 0.68 "pH" "non-significant"
"D.cl.81" 0.969095852857143 76824 -0.0177070484070449 0.012 0.096 "pH" "non-significant"
"D.cl.91" 1.0983086332381 49426 -0.023931541769246 0.005 0.045 "pH" "significant"
"D.cl.101" 1.22752141361905 26045 -0.0139627685682137 0.023 0.161 "pH" "non-significant"
"D.cl.112" 0.0646063901904761 3576 0.00160461710888446 0.276 0.276 "Cl" "non-significant"
"D.cl.23" 0.193819170571429 19354 -0.00142057398130546 0.418 0.552 "Cl" "non-significant"
"D.cl.32" 0.323031950952381 111973 0.00250873025309613 0.425 0.836 "Cl" "non-significant"
"D.cl.42" 0.452244731333333 167084 -0.00319638314137624 0.412 1 "Cl" "non-significant"
"D.cl.52" 0.581457511714286 182120 0.00812069366160987 0.216 1 "Cl" "non-significant"
"D.cl.62" 0.710670292095238 154560 -0.0024383735039821 0.358 1 "Cl" "non-significant"
"D.cl.72" 0.83988307247619 111989 0.00166818951171596 0.449 1 "Cl" "non-significant"
"D.cl.82" 0.969095852857143 76824 0.00279640057350202 0.42 1 "Cl" "non-significant"
"D.cl.92" 1.0983086332381 49426 -0.00433279951188118 0.349 1 "Cl" "non-significant"
"D.cl.102" 1.22752141361905 26045 0.000866581881716544 0.483 1 "Cl" "non-significant"
"D.cl.114" 0.0646063901904761 3576 0.00183620069539454 0.251 0.251 "SO4" "non-significant"
"D.cl.24" 0.193819170571429 19354 -0.00268148368976366 0.326 0.502 "SO4" "non-significant"
"D.cl.33" 0.323031950952381 111973 0.00159554652280231 0.454 0.753 "SO4" "non-significant"
"D.cl.43" 0.452244731333333 167084 -0.00267169081160447 0.429 1 "SO4" "non-significant"
"D.cl.53" 0.581457511714286 182120 0.00839025388045577 0.224 1 "SO4" "non-significant"
"D.cl.63" 0.710670292095238 154560 0.00275518595049991 0.39 1 "SO4" "non-significant"
"D.cl.73" 0.83988307247619 111989 0.00399000467478095 0.366 1 "SO4" "non-significant"
"D.cl.83" 0.969095852857143 76824 -0.000634770919976959 0.474 1 "SO4" "non-significant"
"D.cl.93" 1.0983086332381 49426 -0.0100786208699891 0.189 1 "SO4" "non-significant"
"D.cl.103" 1.22752141361905 26045 -0.00454372129144018 0.322 1 "SO4" "non-significant"
"D.cl.116" 0.0646063901904761 3576 0.00158274174653858 0.248 0.248 "Na" "non-significant"
"D.cl.25" 0.193819170571429 19354 -0.00180584058252821 0.396 0.496 "Na" "non-significant"
"D.cl.34" 0.323031950952381 111973 0.00211996816079742 0.451 0.792 "Na" "non-significant"
"D.cl.44" 0.452244731333333 167084 -0.0032190715456402 0.42 1 "Na" "non-significant"
"D.cl.54" 0.581457511714286 182120 0.00784658150986493 0.199 0.995 "Na" "non-significant"
"D.cl.64" 0.710670292095238 154560 -0.00146983015355713 0.411 1 "Na" "non-significant"
"D.cl.74" 0.83988307247619 111989 0.0020021118087493 0.44 1 "Na" "non-significant"
"D.cl.84" 0.969095852857143 76824 0.00253627148577437 0.437 1 "Na" "non-significant"
"D.cl.94" 1.0983086332381 49426 -0.00515439484977418 0.305 1 "Na" "non-significant"
"D.cl.104" 1.22752141361905 26045 0.000142796130042923 0.54 1 "Na" "non-significant"
"D.cl.118" 0.0646063901904761 3576 0.00172898326127588 0.257 0.257 "K" "non-significant"
"D.cl.26" 0.193819170571429 19354 -0.00147767501206847 0.405 0.514 "K" "non-significant"
"D.cl.35" 0.323031950952381 111973 0.0026122817613494 0.433 0.81 "K" "non-significant"
"D.cl.45" 0.452244731333333 167084 -0.00328504603818245 0.398 1 "K" "non-significant"
"D.cl.55" 0.581457511714286 182120 0.00859047515607637 0.221 1 "K" "non-significant"
"D.cl.65" 0.710670292095238 154560 -0.0023937546266859 0.382 1 "K" "non-significant"
