"","Phylum","Abundance","Relative Abundance %"
"1","Cyanobacteria",268441,34.32881
"2","Proteobacteria",186715,23.87751
"3","Bacteroidetes",117961,15.08511
"4","Actinobacteria",102865,13.1546
"5","Chloroflexi",24196,3.09424
"6","Acidobacteria",22240,2.8441
"7","WPS-2",13203,1.68843
"8","Gemmatimonadetes",12520,1.60108
"9","Verrucomicrobia",11692,1.4952
"10","Armatimonadetes",10191,1.30325
"11","Planctomycetes",4355,0.55693
"12","Firmicutes",2887,0.3692
"13","Deinococcus-Thermus",1975,0.25257
"14","Fibrobacteres",955,0.12213
"15","Patescibacteria",914,0.11688
"16","FBP",860,0.10998
