"","Phylum","Abundance","Relative Abundance %"
"1","Cyanobacteria",276275,29.70016
"2","Proteobacteria",236831,25.45984
"3","Bacteroidetes",153572,16.50932
"4","Actinobacteria",114844,12.34598
"5","Chloroflexi",29174,3.13627
"6","Acidobacteria",26535,2.85257
"7","Verrucomicrobia",19426,2.08834
"8","Planctomycetes",15080,1.62113
"9","Gemmatimonadetes",14273,1.53438
"10","WPS-2",13564,1.45816
"11","Armatimonadetes",12688,1.36399
"12","Firmicutes",5309,0.57073
"13","Patescibacteria",4686,0.50376
"14","Deinococcus-Thermus",3416,0.36723
"15","FBP",1990,0.21393
"16","Fibrobacteres",1225,0.13169
"17","Chlamydiae",507,0.0545
"18","Kiritimatiellaeota",308,0.03311
"19","BRC1",161,0.01731
"20","Nitrospirae",108,0.01161
"21","Dependentiae",67,0.0072
"22","Nanoarchaeaeota",51,0.00548
"23","Caldiserica",45,0.00484
"24","Elusimicrobia",38,0.00409
"25","Thaumarchaeota",30,0.00323
"26","Thermotogae",5,0.00054
"27","Hydrogenedentes",3,0.00032
"28","Fusobacteria",2,0.00022
"29","Euryarchaeota",1,0.00011
