"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"88022912d92fcdf9b8f777a11589153d","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Cairneyella variabilis","Cairneyella variabilis"
"605fb89a8be12d9934311403d5a78b16","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Boseongicola","uncultured bacterium"
"c4636ba86bd9bd393cbe999d04904931","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA
"6ab29f3b7a7d2d0e85ccd48e4776b325","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","Roseomonas frigidaquae"
"9ce694ba60be5b44423506147ca6d185","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter",NA
"c45584320c40f432aa9fa6ab02dec112","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","uncultured Syntrophobacteraceae bacterium","uncultured Syntrophobacteraceae bacterium"
"119e346832fc03b1dc11ce2f69058b9d","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus","uncultured bacterium"
"032cc574adbe9a2a56cb7d79d9eadbb9","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium","uncultured bacterium"
"d58ebcf1ef1391f2e13e4aaecc700c70","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae",NA,NA
"efa9fc85b063d81ff96b5f93c1235451","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","uncultured",NA
"c11cf6c88493383ac726aa9d21959d1f","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"17a72ed097983985c693b07e5477e156","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"58953b2d164fff7d11ceaa256ed45837","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herminiimonas",NA
"ea58d91de05b91a38553926726d242f7","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas","uncultured bacterium"
"daa7cd21b9ecfa9829d1689a82a2a861","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas","uncultured bacterium"
"8bd8a7a04b866874a9921d1eb3fffa73","Bacteria","WPS-2","metagenome","metagenome","metagenome","metagenome","metagenome"
"82841c4d98aa43bd4c2caf0d525eee99","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured",NA
"d7557dd3559351b28c7d63df925fdd2c","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured Saprospiraceae bacterium"
"55a6d1937d03cae53c7a2c07d97b4b54","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","metagenome"
"3005b16dcbce69e2e0dca0e278726852","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga","Hypsibius dujardini"
