"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"4fa8c39cf6faddad244924cc257a4afd","Bacteria",NA,NA,NA,NA,NA,NA
"bec1c2d15aea5486ced6549ac50c80c7","Bacteria",NA,NA,NA,NA,NA,NA
"23a1fcd343d5c50c77a039af50737bf1","Bacteria",NA,NA,NA,NA,NA,NA
"ceead6e519d90a823fee4b806c9f01b4","Bacteria",NA,NA,NA,NA,NA,NA
"b8a3624a60d9bd1844a4738dece3946e","Bacteria",NA,NA,NA,NA,NA,NA
"638991b64c1810e581389a621fad6070","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"2448e078811a3ef81b263c8617ce7c80","Bacteria",NA,NA,NA,NA,NA,NA
"e75d69a6090242a6d0959786ef33d6dd","Bacteria",NA,NA,NA,NA,NA,NA
"820d73a7ed559fabfda1b1e0da5dff98","Bacteria",NA,NA,NA,NA,NA,NA
"243578db7226e04869f6792160c61057","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Berkeleya fennica","Berkeleya fennica"
"ed14b963357da12ef7b917ccad876948","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Berkeleya fennica","Berkeleya fennica"
"c5c071a30e7cbf55f348228657616193","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured bacterium","uncultured bacterium"
"52caf37bb1be39a07e136570e2d00cff","Bacteria",NA,NA,NA,NA,NA,NA
"43ad2e043d057de625e1fbd39d317558","Bacteria",NA,NA,NA,NA,NA,NA
"619e7cee18dbc107b864b9d6e12f5aa8","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"af05dfb55af6c9229ff1737b69ac2288","Bacteria",NA,NA,NA,NA,NA,NA
"0075e2d56eb30004e2d236fee31ea2c2","Bacteria",NA,NA,NA,NA,NA,NA
"3c7909ffa71932ca013af247908fc65d","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"640eed3afdd59b3a157963a5b0554a49","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"0c1cd57097ea3272a109f2937a64bd45","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"2891f91df92a140cf017667a9b23118e","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"8d05b56c1b2655104926634c49245dc0","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Rhynchosporium agropyri","Rhynchosporium agropyri"
