"class.index" "n.dist" "Mantel.cor" "Pr.Mantel." "Pr.corrected." "property" "sig"
"D.cl.1" 0.10870118209375 3664 0.139990493680628 0.001 0.001 "Cond" "significant"
"D.cl.2" 0.32610354628125 3791 -0.0745486381205363 0.007 0.007 "Cond" "significant"
"D.cl.3" 0.54350591046875 6920 -0.0902682132936748 0.006 0.012 "Cond" "significant"
"D.cl.4" 0.76090827465625 1927 -0.0323937814908841 0.16 0.16 "Cond" "non-significant"
"D.cl.5" 0.97831063884375 486 -0.0780973124618436 0.025 0.05 "Cond" "significant"
"D.cl.6" 1.19571300303125 939 -0.0553797322084723 0.14 0.28 "Cond" "non-significant"
"D.cl.7" 1.41311536721875 45 0.010060897698983 0.275 0.42 "Cond" "non-significant"
"D.cl.8" 1.63051773140625 26 0.0182404728777618 0.002 0.014 "Cond" "significant"
"D.cl.17" 0.10870118209375 3664 0.21443827394979 0.001 0.001 "pH" "significant"
"D.cl.21" 0.32610354628125 3791 -0.0970467546943918 0.001 0.002 "pH" "significant"
"D.cl.31" 0.54350591046875 6920 -0.0775146020505252 0.002 0.003 "pH" "significant"
"D.cl.41" 0.76090827465625 1927 -0.0747767061425873 0.004 0.004 "pH" "significant"
"D.cl.51" 0.97831063884375 486 -0.0531704085307836 0.015 0.015 "pH" "significant"
"D.cl.61" 1.19571300303125 939 -0.0661052727878176 0.036 0.036 "pH" "significant"
"D.cl.71" 1.41311536721875 45 0.00359895156506137 0.357 0.357 "pH" "non-significant"
"D.cl.81" 1.63051773140625 26 0.0278824227519889 0.001 0.008 "pH" "significant"
"D.cl.18" 0.10870118209375 3664 0.138287644281585 0.001 0.001 "Cl" "significant"
"D.cl.22" 0.32610354628125 3791 -0.0692608172127719 0.015 0.015 "Cl" "significant"
"D.cl.32" 0.54350591046875 6920 -0.0891449564166077 0.005 0.01 "Cl" "significant"
"D.cl.42" 0.76090827465625 1927 -0.0380937568921059 0.155 0.155 "Cl" "non-significant"
"D.cl.52" 0.97831063884375 486 -0.0785111403454204 0.032 0.064 "Cl" "non-significant"
"D.cl.62" 1.19571300303125 939 -0.0528194566560541 0.14 0.28 "Cl" "non-significant"
"D.cl.72" 1.41311536721875 45 0.00984042751774329 0.275 0.42 "Cl" "non-significant"
"D.cl.82" 1.63051773140625 26 0.0178415027413998 0.001 0.008 "Cl" "significant"
"D.cl.19" 0.10870118209375 3664 0.115706896111485 0.001 0.001 "SO4" "significant"
"D.cl.23" 0.32610354628125 3791 -0.0828181212051394 0.008 0.008 "SO4" "significant"
"D.cl.33" 0.54350591046875 6920 -0.0837102604053075 0.01 0.016 "SO4" "significant"
"D.cl.43" 0.76090827465625 1927 -0.0160967548481867 0.281 0.281 "SO4" "non-significant"
"D.cl.53" 0.97831063884375 486 -0.0544466193125884 0.08 0.16 "SO4" "non-significant"
"D.cl.63" 1.19571300303125 939 -0.0310311814256324 0.195 0.39 "SO4" "non-significant"
"D.cl.73" 1.41311536721875 45 0.0115299245041693 0.241 0.585 "SO4" "non-significant"
"D.cl.83" 1.63051773140625 26 0.0162418609585997 0.022 0.11 "SO4" "non-significant"
"D.cl.110" 0.10870118209375 3664 0.132207261451525 0.001 0.001 "Na" "significant"
"D.cl.24" 0.32610354628125 3791 -0.0713265810515731 0.008 0.008 "Na" "significant"
