"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI" "Glacier_1" "Glacier_2" "Glacier"
"1" 101 100 0.069996445725553 0.368587144848543 0.21559606738525 -1.38495429320349 "Taylor" "Taylor" "Taylor"
"2" 76 100 0.241254411453759 0.330649009609724 0.163108098461457 -0.548069648283524 "Taylor" "Taylor" "Taylor"
"3" 77 100 0.308824038299999 0.340094125275302 0.200019626626153 -0.156335093224364 "Taylor" "Taylor" "Taylor"
"4" 96 100 0.329980653790763 0.330447262995441 0.164359796238455 -0.00283894976360979 "Taylor" "Taylor" "Taylor"
"5" 97 100 0.252062570887522 0.326460314192342 0.20439329224261 -0.36399307672246 "Taylor" "Taylor" "Taylor"
"6" 98 100 0.231823636127833 0.340748606813424 0.194267562329759 -0.5606956168045 "Taylor" "Taylor" "Taylor"
"7" 99 100 0.275566342608951 0.348601678500111 0.203958871904638 -0.35808854603446 "Taylor" "Taylor" "Taylor"
"8" 76 101 0.255316441082524 0.332680113331618 0.189771316260175 -0.407667890878876 "Taylor" "Taylor" "Taylor"
"9" 77 101 0.267913772581178 0.346241648193716 0.224912188341507 -0.348259808372879 "Taylor" "Taylor" "Taylor"
"10" 96 101 0.257224513685551 0.332781165184362 0.188673925481695 -0.400461543935708 "Taylor" "Taylor" "Taylor"
"11" 97 101 0.257423269668415 0.328923363778712 0.218858112011829 -0.326696111252355 "Taylor" "Taylor" "Taylor"
"12" 98 101 0.227961653278735 0.337942013990614 0.222241534942801 -0.494868615536625 "Taylor" "Taylor" "Taylor"
"13" 99 101 0.194854177138085 0.353228546056831 0.224380957636651 -0.705828028308925 "Taylor" "Taylor" "Taylor"
"14" 72 107 0.0290773971606571 0.152739692227119 0.0489717430309013 -2.52517650818414 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"15" 73 107 0.0272356824751301 0.145159840516859 0.0407664955009215 -2.89267342195414 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"16" 74 107 0.0181358252525383 0.155695427172436 0.0523513132956374 -2.62762466230931 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"17" 110 109 0.248635244339709 0.311736216289665 0.150244826393752 -0.41998765258369 "Lower Wright" "Lower Wright" "Lower Wright"
"18" 112 109 0.282895113283986 0.306676526476395 0.160187290517722 -0.148460050204659 "Lower Wright" "Lower Wright" "Lower Wright"
"19" 125 109 0.274068611867889 0.340704908174629 0.178242603360749 -0.373851677715196 "Lower Wright" "Lower Wright" "Lower Wright"
"20" 112 110 0.0747540403991768 0.302907170688104 0.14318413766313 -1.5934246209989 "Lower Wright" "Lower Wright" "Lower Wright"
"21" 125 110 0.304628330289365 0.336347981214928 0.166195945440807 -0.190856948052685 "Lower Wright" "Lower Wright" "Lower Wright"
"22" 114 111 0.10790692126268 0.292089905418536 0.141182107897659 -1.30457737810069 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"23" 115 111 0.190046077897482 0.34413534597407 0.181960817887961 -0.84682664029058 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"24" 116 111 0.1808774036724 0.327933239894003 0.193192678233708 -0.761187419554832 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"25" 117 111 0.207952700467742 0.316691783377372 0.17568126771098 -0.618956615730488 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"26" 118 111 0.178740076250964 0.346461814852202 0.214787956637101 -0.780871242630311 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"27" 217 111 0.102439603145016 0.340805755300977 0.189075653313469 -1.2606919398595 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"28" 218 111 0.0839227332689378 0.30889539377246 0.163894420149438 -1.37266821102508 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"29" 125 112 0.402488352935198 0.325245337042331 0.163521159543819 0.472373215236206 "Lower Wright" "Lower Wright" "Lower Wright"
"30" 115 114 0.0494814402432141 0.330325826631929 0.164976398658864 -1.70233068894564 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
