"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Glacier","Region","Pole","Domain","Area","Scenario","Abundance_Class"
"158",356,378.615384615385,8.65364580083097,382.579648207699,9.38149137889768,4.41341934558089,0.97101610758087,34.5019221552167,"Canada","McMurdo_Dry_Valleys","Antarctic","16S",NA,0,"Total"
"150",294,305.8125,6.05914945317944,306.683344470589,8.53839319839895,4.27279237393156,0.970966523380182,34.4429987870419,"Canada","McMurdo_Dry_Valleys","Antarctic","16S",NA,0,"Total"
"153",594,706.039473684211,25.7152576755045,689.350728590476,12.6016179584475,4.72952053922133,0.967756764852338,31.0142575774533,"Canada","McMurdo_Dry_Valleys","Antarctic","16S",NA,0,"Total"
"161",594,642.75,13.5030315793829,648.075591737067,12.2093746109751,5.24061608350358,0.987582394391438,80.530823052591,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","16S",NA,0,"Total"
"162",483,510.15873015873,9.46317268226039,512.925220764343,10.7457699449873,4.63680691074916,0.960004159001323,25.0025996461252,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","16S",NA,0,"Total"
"173",100,102.5,3.15986646831175,101.805017769658,4.73569934694831,2.97641204395686,0.864576507584593,7.38424317793057,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","16S",NA,0,"Total"
"177",103,105.142857142857,2.53062655633243,105.816618806832,4.8977811504688,3.03479901195093,0.877423622194463,8.15817874457394,"Kangerlussuaq","Greenland","Arctic","16S",NA,0,"Total"
"176",571,648.04,19.4163754980659,642.579970055436,12.1268410630879,4.91301028823414,0.977482798080791,44.4104913029585,"Kangerlussuaq","Greenland","Arctic","16S",NA,0,"Total"
"175",546,609.333333333333,16.9457680881164,608.270644927226,11.9022132689224,5.14180944256166,0.98873201271549,88.7469940061715,"Kangerlussuaq","Greenland","Arctic","16S",NA,0,"Total"
"3",565,622.721518987342,15.4805748622672,626.457096520431,12.1007642936695,5.07682623984264,0.985099672390847,67.11261834174,"Storglaciären","Sweden","Arctic","16S",NA,0,"Total"
